iter,type,site_id,site_label,dJ,SE_dJ,z,dV,decision,reason,n_site
-1,GROW,n00000046,Emergent Concept #31,,,,,NO_PROPOSAL,"min_pair_sep_below_bar(sep=0.02229,bar=0.02500,k=2)",238
-1,GROW,n00000051,Emergent Concept #36,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=25,floor=30,k=3)",129
2,GROW,n00000050,Emergent Concept #35,0.003527760,0.000269425,13.0936,3,ACCEPTED,,0
2,GROW,n00000055,Emergent Concept #40,0.000009369,0.000060061,0.1560,2,ACCEPTED,,0
-1,GROW,n00000053,Emergent Concept #38,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=11,floor=30,k=2)",112
-1,GROW,n00000054,Emergent Concept #39,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=0,floor=30,k=2)",241
2,GROW,n00000052,Emergent Concept #37,-0.000037767,0.000123533,-0.3057,2,REJECTED,j_regression,0
2,GROW,n00000002,Business,0.002744190,0.000579028,4.7393,3,ACCEPTED,,0
-1,GROW,n00000014,Philosophy,,,,,NO_PROPOSAL,"min_pair_sep_below_bar(sep=0.02123,bar=0.02500,k=2)",410
2,SHRINK,n00000011,Math,-0.000035180,0.000056435,-0.6234,-1,REJECTED,j_regression,0
2,SHRINK,n00000022,Emergent Concept #7,-0.001487456,0.000134621,-11.0492,-1,REJECTED,j_regression,0
2,SHRINK,n00000009,Health,0.000055815,0.000023231,2.4025,-1,ACCEPTED,,0
2,SHRINK,n00000004,Psychology,-0.022606813,0.001529568,-14.7799,-1,REJECTED,j_regression,21
2,SHRINK,n00000045,Emergent Concept #30,-0.000576008,0.000110616,-5.2073,-1,REJECTED,j_regression,0
2,SHRINK,n00000001,MMLU_PRO,-0.001489416,0.000142258,-10.4698,-1,REJECTED,j_regression,0
3,GROW,n00000059,Emergent Concept #44,0.000390907,0.000061002,6.4081,2,ACCEPTED,,0
-1,GROW,n00000058,Emergent Concept #43,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=4,floor=30,k=2)",224
3,GROW,n00000060,Emergent Concept #45,0.001639453,0.000174489,9.3957,3,ACCEPTED,,0
3,GROW,n00000061,Emergent Concept #46,0.000452231,0.000075336,6.0029,3,ACCEPTED,,0
3,GROW,n00000063,Emergent Concept #48,0.000014343,0.000021785,0.6584,2,ACCEPTED,,0
-1,GROW,n00000064,Emergent Concept #49,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=5,floor=30,k=3)",146
-1,GROW,n00000065,Emergent Concept #50,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=0,floor=30,k=3)",211
-1,GROW,n00000066,Emergent Concept #51,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=25,floor=30,k=2)",99
3,GROW,n00000067,Emergent Concept #52,0.000123479,0.000030279,4.0781,2,ACCEPTED,,0
3,GROW,n00000072,Emergent Concept #57,0.000034670,0.000019366,1.7903,2,ACCEPTED,,0
3,GROW,n00000070,Emergent Concept #55,-0.000020064,0.000021073,-0.9521,2,REJECTED,j_regression,0
3,GROW,n00000069,Emergent Concept #54,0.000037740,0.000027154,1.3899,2,ACCEPTED,,0
-1,GROW,n00000073,Emergent Concept #58,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=2,floor=30,k=2)",82
-1,GROW,n00000074,Emergent Concept #59,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=9,floor=30,k=2)",77
3,GROW,n00000084,Emergent Concept #69,0.000183101,0.000031425,5.8265,2,ACCEPTED,,0
-1,GROW,n00000082,Emergent Concept #67,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=18,floor=30,k=2)",87
-1,GROW,n00000083,Emergent Concept #68,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=20,floor=30,k=2)",72
3,GROW,n00000081,Emergent Concept #66,0.000112941,0.000022920,4.9276,2,ACCEPTED,,0
3,GROW,n00000087,Emergent Concept #72,0.000109285,0.000019350,5.6478,2,ACCEPTED,,0
-1,GROW,n00000089,Emergent Concept #74,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=17,floor=30,k=2)",96
-1,GROW,n00000091,Emergent Concept #76,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=12,floor=30,k=2)",103
-1,GROW,n00000090,Emergent Concept #75,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=26,floor=30,k=2)",90
3,GROW,n00000095,Emergent Concept #80,0.000147838,0.000023134,6.3904,2,ACCEPTED,,0
-1,GROW,n00000094,Emergent Concept #79,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=11,floor=30,k=2)",102
3,GROW,n00000097,Emergent Concept #82,0.000218596,0.000036381,6.0086,2,ACCEPTED,,0
3,GROW,n00000098,Emergent Concept #83,0.000044372,0.000037615,1.1796,2,ACCEPTED,,0
3,GROW,n00000096,Emergent Concept #81,0.000453804,0.000187742,2.4172,4,ACCEPTED,,0
-1,GROW,n00000100,Emergent Concept #85,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=24,floor=30,k=2)",97
-1,GROW,n00000027,Emergent Concept #12,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=3,floor=30,k=3)",194
3,GROW,n00000025,Emergent Concept #10,-0.000081625,0.000150021,-0.5441,3,REJECTED,j_regression,0
-1,GROW,n00000028,Emergent Concept #13,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=15,floor=30,k=2)",295
3,GROW,n00000029,Emergent Concept #14,0.003108966,0.000228249,13.6210,2,ACCEPTED,,0
-1,GROW,n00000033,Emergent Concept #18,,,,,NO_PROPOSAL,"min_pair_sep_below_bar(sep=0.00265,bar=0.02500,k=3)",287
-1,GROW,n00000034,Emergent Concept #19,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=28,floor=30,k=2)",260
-1,GROW,n00000035,Emergent Concept #20,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=0,floor=30,k=3)",216
3,GROW,n00000036,Emergent Concept #21,0.000122865,0.000107465,1.1433,2,ACCEPTED,,0
-1,GROW,n00000037,Emergent Concept #22,,,,,NO_PROPOSAL,"min_pair_sep_below_bar(sep=0.01900,bar=0.02500,k=2)",134
-1,GROW,n00000040,Emergent Concept #25,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=0,floor=30,k=2)",365
3,GROW,n00000042,Emergent Concept #27,-0.000910362,0.000320730,-2.8384,4,REJECTED,j_regression,0
-1,GROW,n00000043,Emergent Concept #28,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=0,floor=30,k=3)",261
-1,GROW,n00000044,Emergent Concept #29,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=0,floor=30,k=2)",201
-1,GROW,n00000046,Emergent Concept #31,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=24,floor=30,k=2)",240
-1,GROW,n00000105,Emergent Concept #90,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=8,floor=30,k=2)",292
-1,GROW,n00000103,Emergent Concept #88,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=11,floor=30,k=2)",208
-1,GROW,n00000104,Emergent Concept #89,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=3,floor=30,k=2)",135
-1,GROW,n00000051,Emergent Concept #36,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=6,floor=30,k=2)",135
-1,GROW,n00000053,Emergent Concept #38,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=11,floor=30,k=2)",112
-1,GROW,n00000054,Emergent Concept #39,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=0,floor=30,k=2)",241
3,GROW,n00000052,Emergent Concept #37,0.000162585,0.000162182,1.0025,2,ACCEPTED,,0
-1,GROW,n00000014,Philosophy,,,,,NO_PROPOSAL,"min_pair_sep_below_bar(sep=0.02077,bar=0.02500,k=2)",406
3,SHRINK,n00000011,Math,-0.000078448,0.000045829,-1.7118,-1,REJECTED,j_regression,0
3,SHRINK,n00000022,Emergent Concept #7,-0.001926476,0.000162442,-11.8595,-1,REJECTED,j_regression,0
3,SHRINK,n00000004,Psychology,-0.026522941,0.001696517,-15.6338,-1,REJECTED,j_regression,20
3,SHRINK,n00000045,Emergent Concept #30,-0.000084820,0.000049472,-1.7145,-1,REJECTED,j_regression,0
3,SHRINK,n00000001,MMLU_PRO,-0.001926476,0.000162442,-11.8595,-1,REJECTED,j_regression,0
-1,GROW,n00000109,Emergent Concept #94,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=27,floor=30,k=2)",76
-1,GROW,n00000110,Emergent Concept #95,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=0,floor=30,k=2)",72
-1,GROW,n00000111,Emergent Concept #96,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=21,floor=30,k=2)",107
4,GROW,n00000112,Emergent Concept #97,0.000163499,0.000039043,4.1877,2,ACCEPTED,,0
-1,GROW,n00000141,Emergent Concept #126,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=12,floor=30,k=2)",84
4,GROW,n00000058,Emergent Concept #43,0.000536650,0.000108841,4.9306,2,ACCEPTED,,0
-1,GROW,n00000064,Emergent Concept #49,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=5,floor=30,k=3)",146
-1,GROW,n00000065,Emergent Concept #50,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=0,floor=30,k=3)",211
-1,GROW,n00000066,Emergent Concept #51,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=18,floor=30,k=2)",93
4,GROW,n00000070,Emergent Concept #55,-0.000012131,0.000025903,-0.4683,2,REJECTED,j_regression,0
-1,GROW,n00000073,Emergent Concept #58,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=6,floor=30,k=2)",82
-1,GROW,n00000074,Emergent Concept #59,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=14,floor=30,k=2)",80
4,GROW,n00000145,Emergent Concept #130,0.000769661,0.000102585,7.5027,2,ACCEPTED,,0
4,GROW,n00000146,Emergent Concept #131,0.000517936,0.000078529,6.5955,2,ACCEPTED,,0
-1,GROW,n00000082,Emergent Concept #67,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=6,floor=30,k=2)",91
-1,GROW,n00000083,Emergent Concept #68,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=17,floor=30,k=2)",73
4,GROW,n00000147,Emergent Concept #132,-0.000223295,0.000035204,-6.3429,2,REJECTED,j_regression,0
-1,GROW,n00000148,Emergent Concept #133,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=0,floor=30,k=2)",127
-1,GROW,n00000089,Emergent Concept #74,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=17,floor=30,k=2)",96
-1,GROW,n00000091,Emergent Concept #76,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=12,floor=30,k=2)",103
-1,GROW,n00000090,Emergent Concept #75,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=26,floor=30,k=2)",90
-1,GROW,n00000094,Emergent Concept #79,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=11,floor=30,k=2)",102
-1,GROW,n00000100,Emergent Concept #85,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=28,floor=30,k=2)",98
4,GROW,n00000154,Emergent Concept #139,-0.000175063,0.000039191,-4.4670,2,REJECTED,j_regression,0
-1,GROW,n00000153,Emergent Concept #138,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=18,floor=30,k=2)",181
-1,GROW,n00000027,Emergent Concept #12,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=5,floor=30,k=3)",194
4,GROW,n00000025,Emergent Concept #10,0.000172633,0.000191044,0.9036,3,ACCEPTED,,0
-1,GROW,n00000028,Emergent Concept #13,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=15,floor=30,k=2)",295
-1,GROW,n00000033,Emergent Concept #18,,,,,NO_PROPOSAL,"min_pair_sep_below_bar(sep=0.00265,bar=0.02500,k=3)",287
-1,GROW,n00000034,Emergent Concept #19,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=28,floor=30,k=2)",260
-1,GROW,n00000035,Emergent Concept #20,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=0,floor=30,k=3)",216
-1,GROW,n00000037,Emergent Concept #22,,,,,NO_PROPOSAL,"min_pair_sep_below_bar(sep=0.01900,bar=0.02500,k=2)",134
-1,GROW,n00000040,Emergent Concept #25,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=0,floor=30,k=2)",365
4,GROW,n00000042,Emergent Concept #27,-0.000814134,0.000341670,-2.3828,4,REJECTED,j_regression,0
-1,GROW,n00000043,Emergent Concept #28,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=0,floor=30,k=3)",261
-1,GROW,n00000044,Emergent Concept #29,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=0,floor=30,k=2)",201
-1,GROW,n00000046,Emergent Concept #31,,,,,NO_PROPOSAL,"min_pair_sep_below_bar(sep=0.02074,bar=0.02500,k=2)",239
-1,GROW,n00000105,Emergent Concept #90,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=8,floor=30,k=2)",292
-1,GROW,n00000103,Emergent Concept #88,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=11,floor=30,k=2)",208
-1,GROW,n00000104,Emergent Concept #89,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=3,floor=30,k=2)",135
4,GROW,n00000051,Emergent Concept #36,0.000912660,0.000095972,9.5096,3,ACCEPTED,,0
-1,GROW,n00000053,Emergent Concept #38,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=11,floor=30,k=2)",112
-1,GROW,n00000054,Emergent Concept #39,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=0,floor=30,k=2)",241
-1,GROW,n00000014,Philosophy,,,,,NO_PROPOSAL,"min_pair_sep_below_bar(sep=0.02077,bar=0.02500,k=2)",406
4,SHRINK,n00000011,Math,-0.000017716,0.000030433,-0.5821,-1,REJECTED,j_regression,0
4,SHRINK,n00000022,Emergent Concept #7,-0.002147220,0.000165417,-12.9807,-1,REJECTED,j_regression,0
4,SHRINK,n00000004,Psychology,-0.028328352,0.001753916,-16.1515,-1,REJECTED,j_regression,20
4,SHRINK,n00000045,Emergent Concept #30,-0.000045083,0.000060663,-0.7432,-1,REJECTED,j_regression,0
4,SHRINK,n00000001,MMLU_PRO,-0.002147220,0.000165417,-12.9807,-1,REJECTED,j_regression,0
-1,GROW,n00000109,Emergent Concept #94,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=10,floor=30,k=2)",80
-1,GROW,n00000160,Emergent Concept #145,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=21,floor=30,k=3)",111
-1,GROW,n00000159,Emergent Concept #144,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=1,floor=30,k=2)",108
-1,GROW,n00000110,Emergent Concept #95,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=0,floor=30,k=2)",72
-1,GROW,n00000111,Emergent Concept #96,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=21,floor=30,k=2)",107
-1,GROW,n00000164,Emergent Concept #149,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=5,floor=30,k=2)",90
-1,GROW,n00000141,Emergent Concept #126,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=12,floor=30,k=2)",84
-1,GROW,n00000064,Emergent Concept #49,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=5,floor=30,k=3)",146
-1,GROW,n00000065,Emergent Concept #50,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=0,floor=30,k=3)",211
-1,GROW,n00000066,Emergent Concept #51,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=18,floor=30,k=2)",93
5,GROW,n00000070,Emergent Concept #55,-0.000007800,0.000027969,-0.2789,2,REJECTED,j_regression,0
-1,GROW,n00000073,Emergent Concept #58,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=6,floor=30,k=2)",82
-1,GROW,n00000074,Emergent Concept #59,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=14,floor=30,k=2)",80
5,GROW,n00000172,Emergent Concept #157,-0.000131396,0.000033464,-3.9265,2,REJECTED,j_regression,0
-1,GROW,n00000173,Emergent Concept #158,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=0,floor=30,k=2)",101
-1,GROW,n00000171,Emergent Concept #156,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=27,floor=30,k=2)",75
-1,GROW,n00000082,Emergent Concept #67,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=6,floor=30,k=2)",91
-1,GROW,n00000083,Emergent Concept #68,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=17,floor=30,k=2)",73
5,GROW,n00000147,Emergent Concept #132,-0.000228633,0.000040463,-5.6505,2,REJECTED,j_regression,0
-1,GROW,n00000148,Emergent Concept #133,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=0,floor=30,k=2)",127
-1,GROW,n00000089,Emergent Concept #74,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=17,floor=30,k=2)",96
-1,GROW,n00000091,Emergent Concept #76,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=12,floor=30,k=2)",103
-1,GROW,n00000090,Emergent Concept #75,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=26,floor=30,k=2)",90
-1,GROW,n00000094,Emergent Concept #79,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=11,floor=30,k=2)",102
-1,GROW,n00000100,Emergent Concept #85,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=28,floor=30,k=2)",98
5,GROW,n00000154,Emergent Concept #139,-0.000178697,0.000036506,-4.8950,2,REJECTED,j_regression,0
-1,GROW,n00000153,Emergent Concept #138,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=18,floor=30,k=2)",181
-1,GROW,n00000027,Emergent Concept #12,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=5,floor=30,k=3)",194
-1,GROW,n00000028,Emergent Concept #13,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=15,floor=30,k=2)",295
-1,GROW,n00000033,Emergent Concept #18,,,,,NO_PROPOSAL,"min_pair_sep_below_bar(sep=0.00265,bar=0.02500,k=3)",287
-1,GROW,n00000034,Emergent Concept #19,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=28,floor=30,k=2)",260
-1,GROW,n00000035,Emergent Concept #20,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=0,floor=30,k=3)",216
-1,GROW,n00000037,Emergent Concept #22,,,,,NO_PROPOSAL,"min_pair_sep_below_bar(sep=0.01900,bar=0.02500,k=2)",134
-1,GROW,n00000040,Emergent Concept #25,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=0,floor=30,k=2)",365
5,GROW,n00000042,Emergent Concept #27,-0.000762208,0.000333634,-2.2846,4,REJECTED,j_regression,0
-1,GROW,n00000043,Emergent Concept #28,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=0,floor=30,k=3)",261
-1,GROW,n00000044,Emergent Concept #29,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=0,floor=30,k=2)",201
-1,GROW,n00000046,Emergent Concept #31,,,,,NO_PROPOSAL,"min_pair_sep_below_bar(sep=0.02074,bar=0.02500,k=2)",239
-1,GROW,n00000105,Emergent Concept #90,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=8,floor=30,k=2)",292
-1,GROW,n00000103,Emergent Concept #88,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=11,floor=30,k=2)",208
-1,GROW,n00000104,Emergent Concept #89,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=3,floor=30,k=2)",135
-1,GROW,n00000053,Emergent Concept #38,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=11,floor=30,k=2)",112
-1,GROW,n00000054,Emergent Concept #39,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=0,floor=30,k=2)",241
-1,GROW,n00000014,Philosophy,,,,,NO_PROPOSAL,"min_pair_sep_below_bar(sep=0.02077,bar=0.02500,k=2)",406
5,SHRINK,n00000011,Math,-0.000016837,0.000029483,-0.5711,-1,REJECTED,j_regression,0
5,SHRINK,n00000022,Emergent Concept #7,-0.002147593,0.000173208,-12.3990,-1,REJECTED,j_regression,0
5,SHRINK,n00000004,Psychology,-0.028331454,0.001869755,-15.1525,-1,REJECTED,j_regression,20
5,SHRINK,n00000045,Emergent Concept #30,-0.000045110,0.000051713,-0.8723,-1,REJECTED,j_regression,0
5,SHRINK,n00000001,MMLU_PRO,-0.002147593,0.000173208,-12.3990,-1,REJECTED,j_regression,0
-1,GROW,n00000109,Emergent Concept #94,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=10,floor=30,k=2)",80
-1,GROW,n00000160,Emergent Concept #145,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=21,floor=30,k=3)",111
-1,GROW,n00000159,Emergent Concept #144,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=1,floor=30,k=2)",108
-1,GROW,n00000110,Emergent Concept #95,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=0,floor=30,k=2)",72
-1,GROW,n00000111,Emergent Concept #96,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=21,floor=30,k=2)",107
-1,GROW,n00000164,Emergent Concept #149,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=5,floor=30,k=2)",90
-1,GROW,n00000141,Emergent Concept #126,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=12,floor=30,k=2)",84
-1,GROW,n00000064,Emergent Concept #49,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=5,floor=30,k=3)",146
-1,GROW,n00000065,Emergent Concept #50,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=0,floor=30,k=3)",211
-1,GROW,n00000066,Emergent Concept #51,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=18,floor=30,k=2)",93
6,GROW,n00000070,Emergent Concept #55,-0.000007800,0.000026689,-0.2922,2,REJECTED,j_regression,0
-1,GROW,n00000073,Emergent Concept #58,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=6,floor=30,k=2)",82
-1,GROW,n00000074,Emergent Concept #59,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=14,floor=30,k=2)",80
6,GROW,n00000172,Emergent Concept #157,-0.000131395,0.000033694,-3.8996,2,REJECTED,j_regression,0
-1,GROW,n00000173,Emergent Concept #158,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=0,floor=30,k=2)",101
-1,GROW,n00000171,Emergent Concept #156,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=27,floor=30,k=2)",75
-1,GROW,n00000082,Emergent Concept #67,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=6,floor=30,k=2)",91
-1,GROW,n00000083,Emergent Concept #68,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=17,floor=30,k=2)",73
6,GROW,n00000147,Emergent Concept #132,-0.000228633,0.000035920,-6.3650,2,REJECTED,j_regression,0
-1,GROW,n00000148,Emergent Concept #133,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=0,floor=30,k=2)",127
