question_id,category,leaf_id,leaf_label,weight,n_leaves
5956,"Other",n00000009,"Health",-0,505502,2
5956,"Other",n00000024,"Empirical Social and Health Statistics Analysis",-0,924330,2
5962,"Other",n00000024,"Empirical Social and Health Statistics Analysis",0,000000,1
6742,"Health",n00000009,"Health",0,000000,1
6252,"Health",n00000009,"Health",0,000000,1
6446,"Health",n00000009,"Health",0,000000,1
6439,"Health",n00000009,"Health",0,000000,1
6355,"Health",n00000009,"Health",0,000000,1
2296,"Psychology",n00000009,"Health",0,000000,1
5599,"Other",n00000009,"Health",0,000000,1
4062,"Chemistry",n00000313,"Real Gas Thermodynamic Calculations",0,000000,1
4072,"Chemistry",n00000313,"Real Gas Thermodynamic Calculations",0,000000,1
4132,"Chemistry",n00000313,"Real Gas Thermodynamic Calculations",0,000000,1
9413,"Physics",n00000127,"Fundamental Photon and Wave-Particle Interactions",0,000000,1
3657,"Chemistry",n00000313,"Real Gas Thermodynamic Calculations",0,000000,1
3858,"Chemistry",n00000313,"Real Gas Thermodynamic Calculations",0,000000,1
3649,"Chemistry",n00000313,"Real Gas Thermodynamic Calculations",0,000000,1
4729,"History",n00000032,"Prehistoric and Ancient Human Civilizations",-0,562208,2
4729,"History",n00000034,"European Colonialism and Indigenous Encounters",-0,843851,2
4859,"History",n00000033,"Cold War Era Political Rhetoric and Doctrine",0,000000,1
4999,"History",n00000032,"Prehistoric and Ancient Human Civilizations",0,000000,1
2240,"Psychology",n00000039,"Foundational Psychological Theories and Concepts",0,000000,1
2312,"Psychology",n00000038,"Behavioral Learning Principles and Mechanisms",-0,307148,2
2312,"Psychology",n00000039,"Foundational Psychological Theories and Concepts",-1,330073,2
2268,"Psychology",n00000039,"Foundational Psychological Theories and Concepts",-0,632109,2
2268,"Psychology",n00000038,"Behavioral Learning Principles and Mechanisms",-0,758154,2
2556,"Psychology",n00000039,"Foundational Psychological Theories and Concepts",-0,299308,2
2556,"Psychology",n00000038,"Behavioral Learning Principles and Mechanisms",-1,352206,2
9953,"Physics",n00000313,"Real Gas Thermodynamic Calculations",0,000000,1
11987,"Engineering",n00000092,"Thermodynamic Process and Work Analysis",0,000000,1
11800,"Engineering",n00000090,"Forced Convection Heat Transfer Analysis",0,000000,1
11343,"Engineering",n00000055,"Econometric Modeling and Statistical Inference",0,000000,1
11410,"Engineering",n00000092,"Thermodynamic Process and Work Analysis",0,000000,1
11393,"Engineering",n00000091,"Electrical Power and Energy Systems Analysis",0,000000,1
5624,"Other",n00000023,"General Knowledge and Trivia Discrimination",0,000000,1
2941,"Biology",n00000005,"Biology",0,000000,1
272,"Business",n00000002,"Business",0,000000,1
580,"Business",n00000002,"Business",0,000000,1
8029,"Math",n00000002,"Business",0,000000,1
8287,"Math",n00000076,"Foundational Quantitative Problem Solving",0,000000,1
152,"Business",n00000002,"Business",0,000000,1
7897,"Math",n00000056,"Logical Statement Verification in CS and Math",0,000000,1
1733,"Law",n00000448,"Contract Formation and Breach Principles",0,000000,1
5139,"Other",n00000448,"Contract Formation and Breach Principles",-0,303870,2
5139,"Other",n00000447,"Criminal Liability and Foreseeability Doctrines",-1,339246,2
1019,"Law",n00000447,"Criminal Liability and Foreseeability Doctrines",-0,484420,2
1019,"Law",n00000448,"Contract Formation and Breach Principles",-0,957254,2
1026,"Law",n00000448,"Contract Formation and Breach Principles",0,000000,1
934,"Law",n00000447,"Criminal Liability and Foreseeability Doctrines",0,000000,1
11030,"Philosophy",n00000068,"Normative Ethical and Legal Theory",0,000000,1
11019,"Philosophy",n00000068,"Normative Ethical and Legal Theory",0,000000,1
11061,"Philosophy",n00000068,"Normative Ethical and Legal Theory",-0,689560,2
11061,"Philosophy",n00000067,"Formal Logic and Fallacy Analysis",-0,696747,2
10834,"Philosophy",n00000067,"Formal Logic and Fallacy Analysis",0,000000,1
8064,"Math",n00000459,"Applied Mathematical Problem Solving Techniques",0,000000,1
8808,"Math",n00000077,"Advanced Calculus and Number Theory Problems",0,000000,1
7853,"Math",n00000459,"Applied Mathematical Problem Solving Techniques",0,000000,1
7863,"Math",n00000459,"Applied Mathematical Problem Solving Techniques",0,000000,1
7787,"Math",n00000077,"Advanced Calculus and Number Theory Problems",0,000000,1
9016,"Math",n00000077,"Advanced Calculus and Number Theory Problems",0,000000,1
7984,"Math",n00000077,"Advanced Calculus and Number Theory Problems",0,000000,1
10678,"Computer science",n00000459,"Applied Mathematical Problem Solving Techniques",-0,493162,2
10678,"Computer science",n00000410,"Advanced Calculus and Integral Transform Applications",-0,943386,2
8612,"Math",n00000410,"Advanced Calculus and Integral Transform Applications",0,000000,1
7770,"Math",n00000458,"Numerical and Analytical Differential Equation Solutions",0,000000,1
9037,"Math",n00000410,"Advanced Calculus and Integral Transform Applications",0,000000,1
9008,"Math",n00000410,"Advanced Calculus and Integral Transform Applications",0,000000,1
8297,"Math",n00000410,"Advanced Calculus and Integral Transform Applications",0,000000,1
9022,"Math",n00000410,"Advanced Calculus and Integral Transform Applications",0,000000,1
7962,"Math",n00000077,"Advanced Calculus and Number Theory Problems",0,000000,1
12183,"Engineering",n00000410,"Advanced Calculus and Integral Transform Applications",0,000000,1
8207,"Math",n00000076,"Foundational Quantitative Problem Solving",-0,682940,2
8207,"Math",n00000078,"Discrete Probability and Combinatorial Counting",-0,703459,2
8907,"Math",n00000077,"Advanced Calculus and Number Theory Problems",-0,387890,2
8907,"Math",n00000076,"Foundational Quantitative Problem Solving",-1,134718,2
8564,"Math",n00000076,"Foundational Quantitative Problem Solving",0,000000,1
9014,"Math",n00000078,"Discrete Probability and Combinatorial Counting",0,000000,1
157,"Business",n00000076,"Foundational Quantitative Problem Solving",0,000000,1
7861,"Math",n00000078,"Discrete Probability and Combinatorial Counting",0,000000,1
10462,"Computer science",n00000078,"Discrete Probability and Combinatorial Counting",0,000000,1
10675,"Computer science",n00000078,"Discrete Probability and Combinatorial Counting",0,000000,1
3235,"Biology",n00000076,"Foundational Quantitative Problem Solving",0,000000,1
9262,"Physics",n00000112,"Fundamental Harmonic and Gravitational Systems Analysis",0,000000,1
9419,"Physics",n00000333,"Electrostatic Field and Charge Distribution Analysis",0,000000,1
9375,"Physics",n00000333,"Electrostatic Field and Charge Distribution Analysis",0,000000,1
10157,"Physics",n00000071,"Applied Newtonian Kinematics and Dynamics",-0,589753,2
10157,"Physics",n00000091,"Electrical Power and Energy Systems Analysis",-0,808478,2
9464,"Physics",n00000127,"Fundamental Photon and Wave-Particle Interactions",0,000000,1
9484,"Physics",n00000333,"Electrostatic Field and Charge Distribution Analysis",0,000000,1
9928,"Physics",n00000075,"Electromagnetic Wave and Quantum Particle Dynamics",0,000000,1
12224,"Engineering",n00000075,"Electromagnetic Wave and Quantum Particle Dynamics",0,000000,1
10300,"Physics",n00000112,"Fundamental Harmonic and Gravitational Systems Analysis",0,000000,1
9117,"Physics",n00000071,"Applied Newtonian Kinematics and Dynamics",0,000000,1
5536,"Other",n00000092,"Thermodynamic Process and Work Analysis",-0,576664,2
5536,"Other",n00000091,"Electrical Power and Energy Systems Analysis",-0,825010,2
9795,"Physics",n00000071,"Applied Newtonian Kinematics and Dynamics",0,000000,1
9623,"Physics",n00000071,"Applied Newtonian Kinematics and Dynamics",0,000000,1
4458,"Chemistry",n00000071,"Applied Newtonian Kinematics and Dynamics",0,000000,1
9847,"Physics",n00000071,"Applied Newtonian Kinematics and Dynamics",0,000000,1
8198,"Math",n00000114,"Applied Orbital and Wave Mechanics Problems",0,000000,1
9100,"Physics",n00000071,"Applied Newtonian Kinematics and Dynamics",0,000000,1
9649,"Physics",n00000112,"Fundamental Harmonic and Gravitational Systems Analysis",0,000000,1
9541,"Physics",n00000071,"Applied Newtonian Kinematics and Dynamics",0,000000,1
5329,"Other",n00000113,"Special Relativity and Kinematic Effects",0,000000,1
10028,"Physics",n00000075,"Electromagnetic Wave and Quantum Particle Dynamics",0,000000,1
3646,"Chemistry",n00000075,"Electromagnetic Wave and Quantum Particle Dynamics",0,000000,1
4178,"Chemistry",n00000075,"Electromagnetic Wave and Quantum Particle Dynamics",0,000000,1
9159,"Physics",n00000075,"Electromagnetic Wave and Quantum Particle Dynamics",0,000000,1
9426,"Physics",n00000112,"Fundamental Harmonic and Gravitational Systems Analysis",-0,339801,2
9426,"Physics",n00000055,"Econometric Modeling and Statistical Inference",-1,244488,2
10295,"Physics",n00000127,"Fundamental Photon and Wave-Particle Interactions",0,000000,1
9382,"Physics",n00000075,"Electromagnetic Wave and Quantum Particle Dynamics",0,000000,1
10280,"Physics",n00000071,"Applied Newtonian Kinematics and Dynamics",0,000000,1
9733,"Physics",n00000005,"Biology",-0,408000,2
9733,"Physics",n00000127,"Fundamental Photon and Wave-Particle Interactions",-1,093561,2
4268,"Chemistry",n00000332,"Spectroscopic and Photoelectric Photon Energy Transitions",0,000000,1
9757,"Physics",n00000071,"Applied Newtonian Kinematics and Dynamics",0,000000,1
6832,"Economics",n00000081,"Macroeconomic Growth and Fluctuation Theory",0,000000,1
6955,"Economics",n00000080,"Foundational Microeconomic Principles and Models",-0,520065,2
6955,"Economics",n00000082,"Market Mechanisms and Price Dynamics",-0,902589,2
6971,"Economics",n00000080,"Foundational Microeconomic Principles and Models",-0,390416,2
6971,"Economics",n00000081,"Macroeconomic Growth and Fluctuation Theory",-1,129408,2
5533,"Other",n00000080,"Foundational Microeconomic Principles and Models",-0,315503,2
5533,"Other",n00000024,"Empirical Social and Health Statistics Analysis",-1,307195,2
7153,"Economics",n00000081,"Macroeconomic Growth and Fluctuation Theory",0,000000,1
7393,"Economics",n00000083,"Monetary Policy and Market Structures",0,000000,1
6987,"Economics",n00000080,"Foundational Microeconomic Principles and Models",0,000000,1
832,"Business",n00000002,"Business",-0,396884,2
832,"Business",n00000080,"Foundational Microeconomic Principles and Models",-1,115999,2
7617,"Economics",n00000081,"Macroeconomic Growth and Fluctuation Theory",0,000000,1
10564,"Computer science",n00000022,"Conceptual Exclusion and Security Dilemma Analysis",0,000000,1
7171,"Economics",n00000022,"Conceptual Exclusion and Security Dilemma Analysis",0,000000,1
5912,"Other",n00000024,"Empirical Social and Health Statistics Analysis",-0,488286,2
5912,"Other",n00000036,"Psychological Assessment and Ethical Practices",-0,951082,2
5918,"Other",n00000024,"Empirical Social and Health Statistics Analysis",-0,511715,2
5918,"Other",n00000038,"Behavioral Learning Principles and Mechanisms",-0,914958,2
5269,"Other",n00000022,"Conceptual Exclusion and Security Dilemma Analysis",0,000000,1
2383,"Psychology",n00000038,"Behavioral Learning Principles and Mechanisms",0,000000,1
2754,"Psychology",n00000022,"Conceptual Exclusion and Security Dilemma Analysis",-0,448893,2
2754,"Psychology",n00000024,"Empirical Social and Health Statistics Analysis",-1,017035,2
441,"Business",n00000022,"Conceptual Exclusion and Security Dilemma Analysis",0,000000,1
126,"Business",n00000068,"Normative Ethical and Legal Theory",0,000000,1
1056,"Law",n00000022,"Conceptual Exclusion and Security Dilemma Analysis",0,000000,1
5361,"Other",n00000024,"Empirical Social and Health Statistics Analysis",0,000000,1
5462,"Other",n00000024,"Empirical Social and Health Statistics Analysis",0,000000,1
5482,"Other",n00000022,"Conceptual Exclusion and Security Dilemma Analysis",0,000000,1
5611,"Other",n00000024,"Empirical Social and Health Statistics Analysis",0,000000,1
5514,"Other",n00000023,"General Knowledge and Trivia Discrimination",0,000000,1
10971,"Philosophy",n00000022,"Conceptual Exclusion and Security Dilemma Analysis",0,000000,1
5098,"Other",n00000032,"Prehistoric and Ancient Human Civilizations",-0,534838,2
5098,"Other",n00000023,"General Knowledge and Trivia Discrimination",-0,881319,2
5318,"Other",n00000023,"General Knowledge and Trivia Discrimination",0,000000,1
6129,"Health",n00000009,"Health",0,000000,1
3218,"Biology",n00000009,"Health",0,000000,1
5740,"Other",n00000009,"Health",0,000000,1
6699,"Health",n00000009,"Health",0,000000,1
6393,"Health",n00000009,"Health",0,000000,1
5748,"Other",n00000009,"Health",0,000000,1
5807,"Other",n00000009,"Health",0,000000,1
6143,"Health",n00000009,"Health",0,000000,1
6798,"Health",n00000009,"Health",0,000000,1
3934,"Chemistry",n00000349,"Nuclear Reaction Mass-Energy Calculations",-0,635627,2
3934,"Chemistry",n00000313,"Real Gas Thermodynamic Calculations",-0,754179,2
2955,"Biology",n00000349,"Nuclear Reaction Mass-Energy Calculations",0,000000,1
9778,"Physics",n00000349,"Nuclear Reaction Mass-Energy Calculations",0,000000,1
4047,"Chemistry",n00000313,"Real Gas Thermodynamic Calculations",0,000000,1
4217,"Chemistry",n00000349,"Nuclear Reaction Mass-Energy Calculations",0,000000,1
3787,"Chemistry",n00000349,"Nuclear Reaction Mass-Energy Calculations",0,000000,1
4346,"Chemistry",n00000349,"Nuclear Reaction Mass-Energy Calculations",0,000000,1
4195,"Chemistry",n00000348,"Thermodynamic Phase Transition Calculations",0,000000,1
4467,"Chemistry",n00000313,"Real Gas Thermodynamic Calculations",0,000000,1
3666,"Chemistry",n00000313,"Real Gas Thermodynamic Calculations",0,000000,1
4372,"Chemistry",n00000313,"Real Gas Thermodynamic Calculations",0,000000,1
4236,"Chemistry",n00000313,"Real Gas Thermodynamic Calculations",0,000000,1
9688,"Physics",n00000313,"Real Gas Thermodynamic Calculations",0,000000,1
9775,"Physics",n00000313,"Real Gas Thermodynamic Calculations",0,000000,1
9071,"Physics",n00000348,"Thermodynamic Phase Transition Calculations",0,000000,1
10004,"Physics",n00000348,"Thermodynamic Phase Transition Calculations",0,000000,1
3561,"Chemistry",n00000313,"Real Gas Thermodynamic Calculations",0,000000,1
3622,"Chemistry",n00000313,"Real Gas Thermodynamic Calculations",0,000000,1
4060,"Chemistry",n00000348,"Thermodynamic Phase Transition Calculations",-0,535935,2
4060,"Chemistry",n00000313,"Real Gas Thermodynamic Calculations",-0,879771,2
4572,"Chemistry",n00000348,"Thermodynamic Phase Transition Calculations",0,000000,1
4261,"Chemistry",n00000313,"Real Gas Thermodynamic Calculations",0,000000,1
4492,"Chemistry",n00000313,"Real Gas Thermodynamic Calculations",0,000000,1
3868,"Chemistry",n00000313,"Real Gas Thermodynamic Calculations",0,000000,1
3922,"Chemistry",n00000313,"Real Gas Thermodynamic Calculations",0,000000,1
11590,"Engineering",n00000313,"Real Gas Thermodynamic Calculations",0,000000,1
12062,"Engineering",n00000313,"Real Gas Thermodynamic Calculations",0,000000,1
4996,"History",n00000032,"Prehistoric and Ancient Human Civilizations",0,000000,1
4843,"History",n00000032,"Prehistoric and Ancient Human Civilizations",0,000000,1
4869,"History",n00000032,"Prehistoric and Ancient Human Civilizations",0,000000,1
4965,"History",n00000032,"Prehistoric and Ancient Human Civilizations",0,000000,1
11245,"Philosophy",n00000032,"Prehistoric and Ancient Human Civilizations",0,000000,1
4944,"History",n00000034,"European Colonialism and Indigenous Encounters",0,000000,1
4812,"History",n00000034,"European Colonialism and Indigenous Encounters",0,000000,1
4777,"History",n00000033,"Cold War Era Political Rhetoric and Doctrine",0,000000,1
6459,"Health",n00000036,"Psychological Assessment and Ethical Practices",0,000000,1
2069,"Psychology",n00000036,"Psychological Assessment and Ethical Practices",0,000000,1
2477,"Psychology",n00000036,"Psychological Assessment and Ethical Practices",0,000000,1
2695,"Psychology",n00000036,"Psychological Assessment and Ethical Practices",0,000000,1
2344,"Psychology",n00000037,"Developmental and Behavioral Psychology Mechanisms",0,000000,1
2330,"Psychology",n00000037,"Developmental and Behavioral Psychology Mechanisms",0,000000,1
2483,"Psychology",n00000037,"Developmental and Behavioral Psychology Mechanisms",0,000000,1
314,"Business",n00000038,"Behavioral Learning Principles and Mechanisms",0,000000,1
2040,"Psychology",n00000038,"Behavioral Learning Principles and Mechanisms",0,000000,1
2723,"Psychology",n00000039,"Foundational Psychological Theories and Concepts",-0,628423,2
2723,"Psychology",n00000038,"Behavioral Learning Principles and Mechanisms",-0,762352,2
6469,"Health",n00000036,"Psychological Assessment and Ethical Practices",0,000000,1
2148,"Psychology",n00000036,"Psychological Assessment and Ethical Practices",0,000000,1
2004,"Psychology",n00000037,"Developmental and Behavioral Psychology Mechanisms",0,000000,1
2263,"Psychology",n00000036,"Psychological Assessment and Ethical Practices",-0,450029,2
2263,"Psychology",n00000039,"Foundational Psychological Theories and Concepts",-1,015033,2
2314,"Psychology",n00000036,"Psychological Assessment and Ethical Practices",0,000000,1
2769,"Psychology",n00000039,"Foundational Psychological Theories and Concepts",0,000000,1
2721,"Psychology",n00000037,"Developmental and Behavioral Psychology Mechanisms",-0,581797,2
2721,"Psychology",n00000038,"Behavioral Learning Principles and Mechanisms",-0,818468,2
2568,"Psychology",n00000039,"Foundational Psychological Theories and Concepts",0,000000,1
5771,"Other",n00000037,"Developmental and Behavioral Psychology Mechanisms",-0,317382,2
5771,"Other",n00000036,"Psychological Assessment and Ethical Practices",-1,302147,2
2503,"Psychology",n00000036,"Psychological Assessment and Ethical Practices",0,000000,1
572,"Business",n00000039,"Foundational Psychological Theories and Concepts",-0,616555,2
572,"Business",n00000068,"Normative Ethical and Legal Theory",-0,776095,2
11546,"Engineering",n00000092,"Thermodynamic Process and Work Analysis",0,000000,1
9536,"Physics",n00000091,"Electrical Power and Energy Systems Analysis",0,000000,1
11920,"Engineering",n00000091,"Electrical Power and Energy Systems Analysis",0,000000,1
11678,"Engineering",n00000091,"Electrical Power and Energy Systems Analysis",0,000000,1
11928,"Engineering",n00000091,"Electrical Power and Energy Systems Analysis",0,000000,1
11603,"Engineering",n00000091,"Electrical Power and Energy Systems Analysis",0,000000,1
11996,"Engineering",n00000091,"Electrical Power and Energy Systems Analysis",0,000000,1
9889,"Physics",n00000091,"Electrical Power and Energy Systems Analysis",0,000000,1
11776,"Engineering",n00000091,"Electrical Power and Energy Systems Analysis",0,000000,1
7776,"Math",n00000090,"Forced Convection Heat Transfer Analysis",-0,659933,2
7776,"Math",n00000092,"Thermodynamic Process and Work Analysis",-0,727503,2
11879,"Engineering",n00000090,"Forced Convection Heat Transfer Analysis",0,000000,1
12171,"Engineering",n00000090,"Forced Convection Heat Transfer Analysis",0,000000,1
11488,"Engineering",n00000092,"Thermodynamic Process and Work Analysis",-0,512176,2
11488,"Engineering",n00000090,"Forced Convection Heat Transfer Analysis",-0,914269,2
12202,"Engineering",n00000092,"Thermodynamic Process and Work Analysis",0,000000,1
11912,"Engineering",n00000092,"Thermodynamic Process and Work Analysis",0,000000,1
11565,"Engineering",n00000090,"Forced Convection Heat Transfer Analysis",0,000000,1
11724,"Engineering",n00000090,"Forced Convection Heat Transfer Analysis",0,000000,1
11425,"Engineering",n00000090,"Forced Convection Heat Transfer Analysis",0,000000,1
3031,"Biology",n00000005,"Biology",0,000000,1
3393,"Biology",n00000005,"Biology",0,000000,1
3273,"Biology",n00000005,"Biology",0,000000,1
4761,"History",n00000005,"Biology",0,000000,1
2302,"Psychology",n00000005,"Biology",-0,492466,2
2302,"Psychology",n00000057,"Machine Learning Theory and Model Evaluation",-0,944479,2
3406,"Biology",n00000005,"Biology",0,000000,1
3436,"Biology",n00000005,"Biology",0,000000,1
3516,"Biology",n00000005,"Biology",0,000000,1
6198,"Health",n00000005,"Biology",0,000000,1
3509,"Biology",n00000005,"Biology",0,000000,1
3207,"Biology",n00000005,"Biology",0,000000,1
3379,"Biology",n00000005,"Biology",0,000000,1
6162,"Health",n00000005,"Biology",0,000000,1
3012,"Biology",n00000005,"Biology",0,000000,1
2987,"Biology",n00000005,"Biology",0,000000,1
8562,"Math",n00000002,"Business",0,000000,1
8134,"Math",n00000002,"Business",0,000000,1
5168,"Other",n00000002,"Business",0,000000,1
422,"Business",n00000002,"Business",0,000000,1
7037,"Economics",n00000002,"Business",0,000000,1
107,"Business",n00000002,"Business",0,000000,1
818,"Business",n00000002,"Business",0,000000,1
613,"Business",n00000002,"Business",0,000000,1
341,"Business",n00000002,"Business",0,000000,1
8094,"Math",n00000002,"Business",0,000000,1
5850,"Other",n00000002,"Business",0,000000,1
534,"Business",n00000002,"Business",0,000000,1
8778,"Math",n00000056,"Logical Statement Verification in CS and Math",0,000000,1
8666,"Math",n00000054,"Statistical Inference and Computational Methods",0,000000,1
6909,"Economics",n00000054,"Statistical Inference and Computational Methods",0,000000,1
10653,"Computer science",n00000054,"Statistical Inference and Computational Methods",0,000000,1
8663,"Math",n00000055,"Econometric Modeling and Statistical Inference",-0,440140,2
8663,"Math",n00000054,"Statistical Inference and Computational Methods",-1,032673,2
7179,"Economics",n00000055,"Econometric Modeling and Statistical Inference",0,000000,1
6990,"Economics",n00000055,"Econometric Modeling and Statistical Inference",0,000000,1
11498,"Engineering",n00000054,"Statistical Inference and Computational Methods",0,000000,1
10685,"Computer science",n00000054,"Statistical Inference and Computational Methods",0,000000,1
10435,"Computer science",n00000055,"Econometric Modeling and Statistical Inference",-0,621746,2
10435,"Computer science",n00000071,"Applied Newtonian Kinematics and Dynamics",-0,770041,2
10622,"Computer science",n00000057,"Machine Learning Theory and Model Evaluation",0,000000,1
8057,"Math",n00000056,"Logical Statement Verification in CS and Math",0,000000,1
11890,"Engineering",n00000056,"Logical Statement Verification in CS and Math",0,000000,1
10637,"Computer science",n00000057,"Machine Learning Theory and Model Evaluation",0,000000,1
1614,"Law",n00000448,"Contract Formation and Breach Principles",0,000000,1
1329,"Law",n00000447,"Criminal Liability and Foreseeability Doctrines",0,000000,1
1703,"Law",n00000448,"Contract Formation and Breach Principles",0,000000,1
1607,"Law",n00000448,"Contract Formation and Breach Principles",0,000000,1
4742,"History",n00000448,"Contract Formation and Breach Principles",0,000000,1
1752,"Law",n00000448,"Contract Formation and Breach Principles",0,000000,1
997,"Law",n00000447,"Criminal Liability and Foreseeability Doctrines",-0,547348,2
997,"Law",n00000448,"Contract Formation and Breach Principles",-0,863892,2
1717,"Law",n00000448,"Contract Formation and Breach Principles",0,000000,1
1231,"Law",n00000448,"Contract Formation and Breach Principles",0,000000,1
6781,"Health",n00000068,"Normative Ethical and Legal Theory",0,000000,1
629,"Business",n00000068,"Normative Ethical and Legal Theory",0,000000,1
971,"Law",n00000068,"Normative Ethical and Legal Theory",0,000000,1
10964,"Philosophy",n00000068,"Normative Ethical and Legal Theory",0,000000,1
11010,"Philosophy",n00000067,"Formal Logic and Fallacy Analysis",0,000000,1
7874,"Math",n00000410,"Advanced Calculus and Integral Transform Applications",0,000000,1
8718,"Math",n00000410,"Advanced Calculus and Integral Transform Applications",0,000000,1
8270,"Math",n00000410,"Advanced Calculus and Integral Transform Applications",0,000000,1
8844,"Math",n00000056,"Logical Statement Verification in CS and Math",-0,343481,2
8844,"Math",n00000077,"Advanced Calculus and Number Theory Problems",-1,235452,2
8839,"Math",n00000410,"Advanced Calculus and Integral Transform Applications",-0,480418,2
8839,"Math",n00000077,"Advanced Calculus and Number Theory Problems",-0,963709,2
8953,"Math",n00000410,"Advanced Calculus and Integral Transform Applications",0,000000,1
7836,"Math",n00000410,"Advanced Calculus and Integral Transform Applications",0,000000,1
12106,"Engineering",n00000410,"Advanced Calculus and Integral Transform Applications",0,000000,1
8527,"Math",n00000458,"Numerical and Analytical Differential Equation Solutions",0,000000,1
