split,model,domain,n_questions,n_correct,n_blank_pred,acc,acc_parsed,blank_rate
reserved,claude-3.5-sonnet,law,287,190,0,0.662,0.662,0.0
reserved,claude-3.5-sonnet,math,393,300,0,0.7634,0.7634,0.0
reserved,claude-3.5-sonnet,other,277,220,0,0.7942,0.7942,0.0
reserved,claude-3.5-sonnet,philosophy,144,109,0,0.7569,0.7569,0.0
reserved,claude-3.5-sonnet,physics,379,290,0,0.7652,0.7652,0.0
reserved,claude-3.5-sonnet,psychology,238,198,0,0.8319,0.8319,0.0
reserved,claude-3.5-sonnet,ALL,3444,2654,0,0.7706,0.7706,0.0
reserved,gpt-4o-2024-08-06,biology,196,176,0,0.898,0.898,0.0
reserved,gpt-4o-2024-08-06,business,232,191,2,0.8233,0.8304,0.0086
reserved,gpt-4o-2024-08-06,chemistry,339,243,3,0.7168,0.7232,0.0088
reserved,gpt-4o-2024-08-06,computer science,123,95,0,0.7724,0.7724,0.0
reserved,gpt-4o-2024-08-06,economics,250,211,1,0.844,0.8474,0.004
reserved,gpt-4o-2024-08-06,engineering,267,141,4,0.5281,0.5361,0.015
reserved,gpt-4o-2024-08-06,health,206,152,0,0.7379,0.7379,0.0
reserved,gpt-4o-2024-08-06,history,114,83,0,0.7281,0.7281,0.0
reserved,gpt-4o-2024-08-06,law,287,176,0,0.6132,0.6132,0.0
reserved,gpt-4o-2024-08-06,math,393,317,5,0.8066,0.817,0.0127
reserved,gpt-4o-2024-08-06,other,277,214,0,0.7726,0.7726,0.0
reserved,gpt-4o-2024-08-06,philosophy,144,98,0,0.6806,0.6806,0.0
reserved,gpt-4o-2024-08-06,physics,379,293,3,0.7731,0.7793,0.0079
reserved,gpt-4o-2024-08-06,psychology,238,193,0,0.8109,0.8109,0.0
reserved,gpt-4o-2024-08-06,ALL,3445,2583,18,0.7498,0.7537,0.0052
reserved,deepseek-chat-v2_5,biology,196,169,0,0.8622,0.8622,0.0
reserved,deepseek-chat-v2_5,business,232,176,5,0.7586,0.7753,0.0216
reserved,deepseek-chat-v2_5,chemistry,339,245,2,0.7227,0.727,0.0059
reserved,deepseek-chat-v2_5,computer science,123,88,0,0.7154,0.7154,0.0
reserved,deepseek-chat-v2_5,economics,250,199,0,0.796,0.796,0.0
reserved,deepseek-chat-v2_5,engineering,267,125,1,0.4682,0.4699,0.0037
reserved,deepseek-chat-v2_5,health,206,120,0,0.5825,0.5825,0.0
reserved,deepseek-chat-v2_5,history,114,64,0,0.5614,0.5614,0.0
reserved,deepseek-chat-v2_5,law,287,107,0,0.3728,0.3728,0.0
reserved,deepseek-chat-v2_5,math,393,284,7,0.7226,0.7358,0.0178
reserved,deepseek-chat-v2_5,other,277,175,0,0.6318,0.6318,0.0
reserved,deepseek-chat-v2_5,philosophy,144,75,0,0.5208,0.5208,0.0
reserved,deepseek-chat-v2_5,physics,379,269,3,0.7098,0.7154,0.0079
reserved,deepseek-chat-v2_5,psychology,238,167,0,0.7017,0.7017,0.0
reserved,deepseek-chat-v2_5,ALL,3445,2263,18,0.6569,0.6603,0.0052
reserved,gpt-4o-mini,biology,196,163,0,0.8316,0.8316,0.0
reserved,gpt-4o-mini,business,232,164,0,0.7069,0.7069,0.0
reserved,gpt-4o-mini,chemistry,339,221,0,0.6519,0.6519,0.0
reserved,gpt-4o-mini,computer science,123,81,0,0.6585,0.6585,0.0
reserved,gpt-4o-mini,economics,250,190,0,0.76,0.76,0.0
reserved,gpt-4o-mini,engineering,267,92,0,0.3446,0.3446,0.0
reserved,gpt-4o-mini,health,206,139,0,0.6748,0.6748,0.0
reserved,gpt-4o-mini,history,114,64,0,0.5614,0.5614,0.0
reserved,gpt-4o-mini,law,287,107,0,0.3728,0.3728,0.0
reserved,gpt-4o-mini,math,393,282,0,0.7176,0.7176,0.0
reserved,gpt-4o-mini,other,277,176,0,0.6354,0.6354,0.0
reserved,gpt-4o-mini,philosophy,144,72,0,0.5,0.5,0.0
reserved,gpt-4o-mini,physics,379,254,0,0.6702,0.6702,0.0
reserved,gpt-4o-mini,psychology,238,174,0,0.7311,0.7311,0.0
reserved,gpt-4o-mini,ALL,3445,2179,0,0.6325,0.6325,0.0
reserved,Qwen1.5-72B-Chat,biology,196,138,15,0.7041,0.7624,0.0765
reserved,Qwen1.5-72B-Chat,business,232,118,51,0.5086,0.6519,0.2198
reserved,Qwen1.5-72B-Chat,chemistry,339,85,164,0.2507,0.4857,0.4838
reserved,Qwen1.5-72B-Chat,computer science,123,62,28,0.5041,0.6526,0.2276
reserved,Qwen1.5-72B-Chat,economics,250,168,10,0.672,0.7,0.04
reserved,Qwen1.5-72B-Chat,engineering,267,82,87,0.3071,0.4556,0.3258
reserved,Qwen1.5-72B-Chat,health,206,115,13,0.5583,0.5959,0.0631
reserved,Qwen1.5-72B-Chat,history,114,67,7,0.5877,0.6262,0.0614
reserved,Qwen1.5-72B-Chat,law,287,109,11,0.3798,0.3949,0.0383
reserved,Qwen1.5-72B-Chat,math,393,155,144,0.3944,0.6225,0.3664
reserved,Qwen1.5-72B-Chat,other,277,158,15,0.5704,0.6031,0.0542
reserved,Qwen1.5-72B-Chat,philosophy,144,76,8,0.5278,0.5588,0.0556
reserved,Qwen1.5-72B-Chat,physics,379,145,91,0.3826,0.5035,0.2401
reserved,Qwen1.5-72B-Chat,psychology,238,156,3,0.6555,0.6638,0.0126
reserved,Qwen1.5-72B-Chat,ALL,3445,1634,647,0.4743,0.584,0.1878
reserved,Meta-Llama-3-8B-Instruct,biology,196,131,4,0.6684,0.6823,0.0204
reserved,Meta-Llama-3-8B-Instruct,business,232,100,8,0.431,0.4464,0.0345
reserved,Meta-Llama-3-8B-Instruct,chemistry,339,83,89,0.2448,0.332,0.2625
reserved,Meta-Llama-3-8B-Instruct,computer science,123,50,7,0.4065,0.431,0.0569
reserved,Meta-Llama-3-8B-Instruct,economics,250,144,7,0.576,0.5926,0.028
reserved,Meta-Llama-3-8B-Instruct,engineering,267,81,21,0.3034,0.3293,0.0787
reserved,Meta-Llama-3-8B-Instruct,health,206,101,1,0.4903,0.4927,0.0049
reserved,Meta-Llama-3-8B-Instruct,history,114,48,2,0.4211,0.4286,0.0175
reserved,Meta-Llama-3-8B-Instruct,law,287,87,1,0.3031,0.3042,0.0035
reserved,Meta-Llama-3-8B-Instruct,math,393,125,89,0.3181,0.4112,0.2265
reserved,Meta-Llama-3-8B-Instruct,other,277,130,1,0.4693,0.471,0.0036
reserved,Meta-Llama-3-8B-Instruct,philosophy,144,57,2,0.3958,0.4014,0.0139
reserved,Meta-Llama-3-8B-Instruct,physics,379,117,52,0.3087,0.3578,0.1372
reserved,Meta-Llama-3-8B-Instruct,psychology,238,140,1,0.5882,0.5907,0.0042
reserved,Meta-Llama-3-8B-Instruct,ALL,3445,1394,285,0.4046,0.4411,0.0827
reserved,Qwen1.5-14B-Chat,biology,196,124,15,0.6327,0.6851,0.0765
reserved,Qwen1.5-14B-Chat,business,232,93,33,0.4009,0.4673,0.1422
reserved,Qwen1.5-14B-Chat,chemistry,339,57,176,0.1681,0.3497,0.5192
reserved,Qwen1.5-14B-Chat,computer science,123,43,32,0.3496,0.4725,0.2602
reserved,Qwen1.5-14B-Chat,economics,250,141,10,0.564,0.5875,0.04
reserved,Qwen1.5-14B-Chat,engineering,267,67,42,0.2509,0.2978,0.1573
reserved,Qwen1.5-14B-Chat,health,206,81,21,0.3932,0.4378,0.1019
reserved,Qwen1.5-14B-Chat,history,114,43,6,0.3772,0.3981,0.0526
reserved,Qwen1.5-14B-Chat,law,287,66,4,0.23,0.2332,0.0139
reserved,Qwen1.5-14B-Chat,math,393,118,152,0.3003,0.4896,0.3868
reserved,Qwen1.5-14B-Chat,other,277,109,12,0.3935,0.4113,0.0433
reserved,Qwen1.5-14B-Chat,philosophy,144,43,7,0.2986,0.3139,0.0486
reserved,Qwen1.5-14B-Chat,physics,379,112,95,0.2955,0.3944,0.2507
reserved,Qwen1.5-14B-Chat,psychology,238,126,0,0.5294,0.5294,0.0
reserved,Qwen1.5-14B-Chat,ALL,3445,1223,605,0.355,0.4306,0.1756
reserved,Meta-Llama-3-8B,biology,196,104,22,0.5306,0.5977,0.1122
reserved,Meta-Llama-3-8B,business,232,68,18,0.2931,0.3178,0.0776
reserved,Meta-Llama-3-8B,chemistry,339,60,82,0.177,0.2335,0.2419
reserved,Meta-Llama-3-8B,computer science,123,36,15,0.2927,0.3333,0.122
reserved,Meta-Llama-3-8B,economics,250,120,15,0.48,0.5106,0.06
reserved,Meta-Llama-3-8B,engineering,267,54,41,0.2022,0.2389,0.1536
reserved,Meta-Llama-3-8B,health,206,85,6,0.4126,0.425,0.0291
reserved,Meta-Llama-3-8B,history,114,37,11,0.3246,0.3592,0.0965
reserved,Meta-Llama-3-8B,law,287,56,28,0.1951,0.2162,0.0976
reserved,Meta-Llama-3-8B,math,393,90,110,0.229,0.318,0.2799
reserved,Meta-Llama-3-8B,other,277,117,0,0.4224,0.4224,0.0
reserved,Meta-Llama-3-8B,philosophy,144,56,8,0.3889,0.4118,0.0556
reserved,Meta-Llama-3-8B,physics,379,118,44,0.3113,0.3522,0.1161
reserved,Meta-Llama-3-8B,psychology,238,133,0,0.5588,0.5588,0.0
reserved,Meta-Llama-3-8B,ALL,3445,1134,400,0.3292,0.3724,0.1161
full,gemini-3.1-pro_5-shots,biology,717,687,1,0.9582,0.9595,0.0014
full,gemini-3.1-pro_5-shots,business,789,736,0,0.9328,0.9328,0.0
full,gemini-3.1-pro_5-shots,chemistry,1132,1043,1,0.9214,0.9222,0.0009
full,gemini-3.1-pro_5-shots,computer science,410,384,0,0.9366,0.9366,0.0
full,gemini-3.1-pro_5-shots,economics,844,788,0,0.9336,0.9336,0.0
full,gemini-3.1-pro_5-shots,engineering,963,841,5,0.8733,0.8779,0.0052
full,gemini-3.1-pro_5-shots,health,818,705,0,0.8619,0.8619,0.0
full,gemini-3.1-pro_5-shots,history,381,326,0,0.8556,0.8556,0.0
full,gemini-3.1-pro_5-shots,law,1100,941,1,0.8555,0.8562,0.0009
full,gemini-3.1-pro_5-shots,math,1351,1290,1,0.9548,0.9556,0.0007
full,gemini-3.1-pro_5-shots,other,924,825,0,0.8929,0.8929,0.0
full,gemini-3.1-pro_5-shots,philosophy,499,451,0,0.9038,0.9038,0.0
full,gemini-3.1-pro_5-shots,physics,1294,1206,8,0.932,0.9378,0.0062
full,gemini-3.1-pro_5-shots,psychology,798,733,0,0.9185,0.9185,0.0
full,gemini-3.1-pro_5-shots,ALL,12020,10956,17,0.9115,0.9128,0.0014
full,iask_pro,biology,701,628,0,0.8959,0.8959,0.0
full,iask_pro,business,781,655,16,0.8387,0.8562,0.0205
full,iask_pro,chemistry,1116,943,7,0.845,0.8503,0.0063
full,iask_pro,computer science,410,340,1,0.8293,0.8313,0.0024
full,iask_pro,economics,842,722,3,0.8575,0.8605,0.0036
full,iask_pro,engineering,963,660,32,0.6854,0.7089,0.0332
full,iask_pro,health,817,624,10,0.7638,0.7732,0.0122
full,iask_pro,history,376,275,0,0.7314,0.7314,0.0
full,iask_pro,law,1092,739,0,0.6767,0.6767,0.0
full,iask_pro,math,1345,1217,11,0.9048,0.9123,0.0082
full,iask_pro,other,909,736,9,0.8097,0.8178,0.0099
full,iask_pro,philosophy,499,391,4,0.7836,0.7899,0.008
full,iask_pro,physics,1293,1113,14,0.8608,0.8702,0.0108
full,iask_pro,psychology,795,650,2,0.8176,0.8197,0.0025
full,iask_pro,ALL,11939,9693,109,0.8119,0.8194,0.0091
full,arx_3,biology,717,639,0,0.8912,0.8912,0.0
full,arx_3,business,789,644,0,0.8162,0.8162,0.0
full,arx_3,chemistry,1132,907,0,0.8012,0.8012,0.0
full,arx_3,computer science,410,331,0,0.8073,0.8073,0.0
full,arx_3,economics,844,706,0,0.8365,0.8365,0.0
full,arx_3,engineering,969,627,0,0.6471,0.6471,0.0
full,arx_3,health,818,632,0,0.7726,0.7726,0.0
full,arx_3,history,381,292,0,0.7664,0.7664,0.0
full,arx_3,law,1101,708,0,0.6431,0.6431,0.0
full,arx_3,math,1351,1108,0,0.8201,0.8201,0.0
full,arx_3,other,924,741,0,0.8019,0.8019,0.0
full,arx_3,philosophy,498,384,0,0.7711,0.7711,0.0
full,arx_3,physics,1299,1041,0,0.8014,0.8014,0.0
full,arx_3,psychology,798,653,0,0.8183,0.8183,0.0
full,arx_3,ALL,12031,9413,0,0.7824,0.7824,0.0
full,claude-3-5-sonnet-20241022,biology,717,635,0,0.8856,0.8856,0.0
full,claude-3-5-sonnet-20241022,business,789,642,0,0.8137,0.8137,0.0
full,claude-3-5-sonnet-20241022,chemistry,1132,889,0,0.7853,0.7853,0.0
full,claude-3-5-sonnet-20241022,computer science,410,338,0,0.8244,0.8244,0.0
full,claude-3-5-sonnet-20241022,economics,844,725,0,0.859,0.859,0.0
full,claude-3-5-sonnet-20241022,engineering,969,594,0,0.613,0.613,0.0
full,claude-3-5-sonnet-20241022,health,818,629,0,0.7689,0.7689,0.0
full,claude-3-5-sonnet-20241022,history,381,281,0,0.7375,0.7375,0.0
full,claude-3-5-sonnet-20241022,law,1101,711,0,0.6458,0.6458,0.0
full,claude-3-5-sonnet-20241022,math,1351,1095,0,0.8105,0.8105,0.0
full,claude-3-5-sonnet-20241022,other,924,741,0,0.8019,0.8019,0.0
full,claude-3-5-sonnet-20241022,philosophy,499,383,0,0.7675,0.7675,0.0
full,claude-3-5-sonnet-20241022,physics,1299,1004,0,0.7729,0.7729,0.0
full,claude-3-5-sonnet-20241022,psychology,798,675,0,0.8459,0.8459,0.0
full,claude-3-5-sonnet-20241022,ALL,12032,9342,0,0.7764,0.7764,0.0
full,claude-3.5-sonnet,biology,717,635,0,0.8856,0.8856,0.0
full,claude-3.5-sonnet,business,789,633,0,0.8023,0.8023,0.0
full,claude-3.5-sonnet,chemistry,1132,875,0,0.773,0.773,0.0
full,claude-3.5-sonnet,computer science,410,327,0,0.7976,0.7976,0.0
full,claude-3.5-sonnet,economics,844,696,0,0.8246,0.8246,0.0
full,claude-3.5-sonnet,engineering,967,595,0,0.6153,0.6153,0.0
full,claude-3.5-sonnet,health,818,616,0,0.7531,0.7531,0.0
full,claude-3.5-sonnet,history,381,289,0,0.7585,0.7585,0.0
full,claude-3.5-sonnet,law,1101,703,0,0.6385,0.6385,0.0
full,claude-3.5-sonnet,math,1351,1038,0,0.7683,0.7683,0.0
full,claude-3.5-sonnet,other,924,725,0,0.7846,0.7846,0.0
full,claude-3.5-sonnet,philosophy,499,373,0,0.7475,0.7475,0.0
full,claude-3.5-sonnet,physics,1299,996,0,0.7667,0.7667,0.0
full,claude-3.5-sonnet,psychology,798,656,0,0.8221,0.8221,0.0
full,claude-3.5-sonnet,ALL,12030,9157,0,0.7612,0.7612,0.0
full,gpt-4o-2024-08-06,biology,717,640,0,0.8926,0.8926,0.0
full,gpt-4o-2024-08-06,business,789,632,12,0.801,0.8134,0.0152
full,gpt-4o-2024-08-06,chemistry,1132,823,11,0.727,0.7342,0.0097
full,gpt-4o-2024-08-06,computer science,410,321,2,0.7829,0.7868,0.0049
full,gpt-4o-2024-08-06,economics,844,689,3,0.8164,0.8193,0.0036
full,gpt-4o-2024-08-06,engineering,969,536,8,0.5531,0.5578,0.0083
full,gpt-4o-2024-08-06,health,818,622,0,0.7604,0.7604,0.0
full,gpt-4o-2024-08-06,history,381,279,0,0.7323,0.7323,0.0
full,gpt-4o-2024-08-06,law,1101,649,0,0.5895,0.5895,0.0
full,gpt-4o-2024-08-06,math,1351,1073,16,0.7942,0.8037,0.0118
full,gpt-4o-2024-08-06,other,924,735,1,0.7955,0.7963,0.0011
full,gpt-4o-2024-08-06,philosophy,499,351,0,0.7034,0.7034,0.0
full,gpt-4o-2024-08-06,physics,1299,975,13,0.7506,0.7582,0.01
full,gpt-4o-2024-08-06,psychology,798,660,0,0.8271,0.8271,0.0
full,gpt-4o-2024-08-06,ALL,12032,8985,66,0.7468,0.7509,0.0055
full,deepseek-chat-v2_5,biology,717,593,0,0.8271,0.8271,0.0
full,deepseek-chat-v2_5,business,789,581,8,0.7364,0.7439,0.0101
full,deepseek-chat-v2_5,chemistry,1132,790,10,0.6979,0.7041,0.0088
full,deepseek-chat-v2_5,computer science,410,291,1,0.7098,0.7115,0.0024
full,deepseek-chat-v2_5,economics,844,648,1,0.7678,0.7687,0.0012
full,deepseek-chat-v2_5,engineering,969,501,6,0.517,0.5202,0.0062
full,deepseek-chat-v2_5,health,818,511,0,0.6247,0.6247,0.0
full,deepseek-chat-v2_5,history,381,212,0,0.5564,0.5564,0.0
full,deepseek-chat-v2_5,law,1101,409,0,0.3715,0.3715,0.0
full,deepseek-chat-v2_5,math,1351,1018,28,0.7535,0.7695,0.0207
full,deepseek-chat-v2_5,other,924,590,1,0.6385,0.6392,0.0011
full,deepseek-chat-v2_5,philosophy,499,281,0,0.5631,0.5631,0.0
full,deepseek-chat-v2_5,physics,1299,916,14,0.7052,0.7128,0.0108
full,deepseek-chat-v2_5,psychology,798,580,0,0.7268,0.7268,0.0
full,deepseek-chat-v2_5,ALL,12032,7921,69,0.6583,0.6621,0.0057
full,gpt-4o-mini,biology,717,575,0,0.802,0.802,0.0
full,gpt-4o-mini,business,789,557,0,0.706,0.706,0.0
full,gpt-4o-mini,chemistry,1132,713,0,0.6299,0.6299,0.0
full,gpt-4o-mini,computer science,410,275,0,0.6707,0.6707,0.0
full,gpt-4o-mini,economics,844,619,0,0.7334,0.7334,0.0
full,gpt-4o-mini,engineering,969,382,0,0.3942,0.3942,0.0
full,gpt-4o-mini,health,818,553,0,0.676,0.676,0.0
full,gpt-4o-mini,history,381,224,0,0.5879,0.5879,0.0
full,gpt-4o-mini,law,1101,410,0,0.3724,0.3724,0.0
full,gpt-4o-mini,math,1351,977,0,0.7232,0.7232,0.0
full,gpt-4o-mini,other,924,611,0,0.6613,0.6613,0.0
full,gpt-4o-mini,philosophy,499,279,0,0.5591,0.5591,0.0
full,gpt-4o-mini,physics,1299,827,0,0.6366,0.6366,0.0
full,gpt-4o-mini,psychology,798,589,0,0.7381,0.7381,0.0
full,gpt-4o-mini,ALL,12032,7591,0,0.6309,0.6309,0.0
full,Qwen1.5-72B-Chat,biology,717,507,65,0.7071,0.7776,0.0907
full,Qwen1.5-72B-Chat,business,789,378,199,0.4791,0.6407,0.2522
full,Qwen1.5-72B-Chat,chemistry,1132,300,529,0.265,0.4975,0.4673
full,Qwen1.5-72B-Chat,computer science,410,202,83,0.4927,0.6177,0.2024
full,Qwen1.5-72B-Chat,economics,844,538,48,0.6374,0.6759,0.0569
full,Qwen1.5-72B-Chat,engineering,969,298,275,0.3075,0.4294,0.2838
full,Qwen1.5-72B-Chat,health,818,468,53,0.5721,0.6118,0.0648
full,Qwen1.5-72B-Chat,history,381,209,22,0.5486,0.5822,0.0577
full,Qwen1.5-72B-Chat,law,1101,417,37,0.3787,0.3919,0.0336
full,Qwen1.5-72B-Chat,math,1351,580,437,0.4293,0.6346,0.3235
full,Qwen1.5-72B-Chat,other,924,521,55,0.5639,0.5995,0.0595
full,Qwen1.5-72B-Chat,philosophy,499,251,29,0.503,0.534,0.0581
full,Qwen1.5-72B-Chat,physics,1299,469,364,0.361,0.5016,0.2802
full,Qwen1.5-72B-Chat,psychology,798,535,15,0.6704,0.6833,0.0188
full,Qwen1.5-72B-Chat,ALL,12032,5673,2211,0.4715,0.5776,0.1838
full,Meta-Llama-3-8B-Instruct,biology,717,475,19,0.6625,0.6805,0.0265
full,Meta-Llama-3-8B-Instruct,business,789,313,25,0.3967,0.4097,0.0317
full,Meta-Llama-3-8B-Instruct,chemistry,1132,289,244,0.2553,0.3255,0.2155
full,Meta-Llama-3-8B-Instruct,computer science,410,173,22,0.422,0.4459,0.0537
full,Meta-Llama-3-8B-Instruct,economics,844,449,16,0.532,0.5423,0.019
full,Meta-Llama-3-8B-Instruct,engineering,969,297,71,0.3065,0.3307,0.0733
full,Meta-Llama-3-8B-Instruct,health,818,400,10,0.489,0.495,0.0122
full,Meta-Llama-3-8B-Instruct,history,381,161,7,0.4226,0.4305,0.0184
full,Meta-Llama-3-8B-Instruct,law,1101,290,10,0.2634,0.2658,0.0091
full,Meta-Llama-3-8B-Instruct,math,1351,450,289,0.3331,0.4237,0.2139
full,Meta-Llama-3-8B-Instruct,other,924,424,3,0.4589,0.4604,0.0032
full,Meta-Llama-3-8B-Instruct,philosophy,499,200,11,0.4008,0.4098,0.022
full,Meta-Llama-3-8B-Instruct,physics,1299,432,163,0.3326,0.3803,0.1255
full,Meta-Llama-3-8B-Instruct,psychology,798,474,1,0.594,0.5947,0.0013
full,Meta-Llama-3-8B-Instruct,ALL,12032,4827,891,0.4012,0.4333,0.0741
full,Qwen1.5-14B-Chat,biology,717,434,48,0.6053,0.6487,0.0669
full,Qwen1.5-14B-Chat,business,789,298,149,0.3777,0.4656,0.1888
full,Qwen1.5-14B-Chat,chemistry,1132,237,525,0.2094,0.3904,0.4638
full,Qwen1.5-14B-Chat,computer science,410,143,94,0.3488,0.4525,0.2293
full,Qwen1.5-14B-Chat,economics,844,430,38,0.5095,0.5335,0.045
full,Qwen1.5-14B-Chat,engineering,969,257,175,0.2652,0.3237,0.1806
full,Qwen1.5-14B-Chat,health,818,333,78,0.4071,0.45,0.0954
full,Qwen1.5-14B-Chat,history,381,142,7,0.3727,0.3797,0.0184
full,Qwen1.5-14B-Chat,law,1101,273,19,0.248,0.2523,0.0173
full,Qwen1.5-14B-Chat,math,1351,471,497,0.3486,0.5515,0.3679
full,Qwen1.5-14B-Chat,other,924,370,37,0.4004,0.4171,0.04
full,Qwen1.5-14B-Chat,philosophy,499,170,34,0.3407,0.3656,0.0681
full,Qwen1.5-14B-Chat,physics,1299,381,324,0.2933,0.3908,0.2494
full,Qwen1.5-14B-Chat,psychology,798,419,1,0.5251,0.5257,0.0013
full,Qwen1.5-14B-Chat,ALL,12032,4358,2026,0.3622,0.4355,0.1684
full,Meta-Llama-3-8B,biology,717,396,76,0.5523,0.6178,0.106
full,Meta-Llama-3-8B,business,789,246,66,0.3118,0.3402,0.0837
full,Meta-Llama-3-8B,chemistry,1132,252,270,0.2226,0.2923,0.2385
full,Meta-Llama-3-8B,computer science,410,134,39,0.3268,0.3612,0.0951
full,Meta-Llama-3-8B,economics,844,390,53,0.4621,0.493,0.0628
full,Meta-Llama-3-8B,engineering,969,232,130,0.2394,0.2765,0.1342
full,Meta-Llama-3-8B,health,818,350,31,0.4279,0.4447,0.0379
full,Meta-Llama-3-8B,history,381,136,25,0.357,0.382,0.0656
