question_id,domain,ll_T,ll_F,ll_Pf,dF,dPf,D,top1_T,top1_F,top1_Pf,affected_F,affected_Pf,hit_real_T,hit_placebo_T
-1009638,Physics,376.38698994,375.90142045,376.38524899,-0.48556948999998895,-0.00174094999999852,-0.4838285399999904,n00000189,n00000189,n00000189,1,1,,
-1009621,Physics,381.99490744,381.99490744,381.99490744,0.0,0.0,0.0,n00000304,n00000304,n00000304,0,0,,
-1009591,Physics,387.6613748,386.92979315,387.6613748,-0.7315816499999528,0.0,-0.7315816499999528,n00000192,n00000192,n00000192,1,0,,
-1009485,Physics,404.86999083,404.86999165,404.86999083,8.199999683711212e-07,0.0,8.199999683711212e-07,n00000066,n00000066,n00000066,1,0,,
-1009447,Physics,389.019141,389.019141,389.01914098,0.0,-2.0000015865662135e-08,2.0000015865662135e-08,n00000172,n00000172,n00000172,0,1,,
-1009162,Physics,405.45301613,405.45301613,405.45301613,0.0,0.0,0.0,n00000066,n00000066,n00000066,0,0,,
-1009101,Physics,392.16064958,392.16064958,392.16064958,0.0,0.0,0.0,n00000192,n00000192,n00000192,0,0,,
-1008932,Physics,376.38698994,375.90142045,376.38524899,-0.48556948999998895,-0.00174094999999852,-0.4838285399999904,n00000189,n00000189,n00000189,1,1,,
-1008860,Physics,371.74924547,371.74924547,371.74924511,0.0,-3.6000000136482413e-07,3.6000000136482413e-07,n00000169,n00000169,n00000169,0,1,,
-1008718,Math,393.47549061,393.47549061,393.46318294,0.0,-0.012307669999984228,0.012307669999984228,n00000242,n00000242,n00000240,0,1,,1
-1008703,Math,406.60623291,406.60623291,406.60623291,0.0,0.0,0.0,n00000232,n00000232,n00000232,0,0,,
-1008368,Math,410.75788406,410.75788406,410.75788406,0.0,0.0,0.0,n00000196,n00000196,n00000196,0,0,,
-1008305,Math,386.09294744,386.09294744,386.09294744,0.0,0.0,0.0,n00000155,n00000155,n00000155,0,0,,
-1008111,Math,384.58003878,384.58003878,384.58003878,0.0,0.0,0.0,n00000239,n00000239,n00000239,0,0,,
-1008089,Math,392.89662728,392.89662728,392.89662728,0.0,0.0,0.0,n00000155,n00000155,n00000155,0,0,,
-1007895,Math,382.20077297,382.20077304,382.20077297,6.999999868639861e-08,0.0,6.999999868639861e-08,n00000304,n00000304,n00000304,1,0,,
-1007833,Math,422.04364112,422.04364112,422.04364112,0.0,0.0,0.0,n00000232,n00000232,n00000232,0,0,,
-1007752,Math,422.04364112,422.04364112,422.04364112,0.0,0.0,0.0,n00000232,n00000232,n00000232,0,0,,
-1007648,Math,412.11609052,412.11609052,412.11609052,0.0,0.0,0.0,n00000196,n00000196,n00000196,0,0,,
-1007613,Math,391.15493397,389.77474466,391.15493397,-1.3801893099999916,0.0,-1.3801893099999916,n00000245,n00000245,n00000245,1,0,1,
-1007545,Math,410.7156174,410.7156174,410.7156174,0.0,0.0,0.0,n00000196,n00000196,n00000196,0,0,,
-1007468,Economics,412.11609052,412.11609052,412.11609052,0.0,0.0,0.0,n00000196,n00000196,n00000196,0,0,,
-1007393,Economics,398.75615514,398.75615514,398.75615514,0.0,0.0,0.0,n00000077,n00000077,n00000077,0,0,,
-1007257,Economics,409.91744493,409.91744493,409.91744493,0.0,0.0,0.0,n00000196,n00000196,n00000196,0,0,,
-1006658,Health,388.08474782,388.08474782,379.80181603,0.0,-8.28293179000002,8.28293179000002,n00000083,n00000083,n00000083,0,1,,3
-1006649,Health,375.14848144,375.14848144,375.13735516,0.0,-0.011126279999984945,0.011126279999984945,n00000124,n00000124,n00000124,0,1,,
-1006644,Health,386.20522278,386.20522278,380.86132732,0.0,-5.343895459999999,5.343895459999999,n00000083,n00000083,n00000083,0,1,,3
-1006641,Health,395.77434074,395.77434074,395.77434074,0.0,0.0,0.0,n00000027,n00000027,n00000027,0,0,,
-1006639,Health,397.0590492,397.0590492,397.0590492,0.0,0.0,0.0,n00000027,n00000027,n00000027,0,0,,
-1006632,Health,401.3504523,401.3504523,401.3504523,0.0,0.0,0.0,n00000027,n00000027,n00000027,0,0,,
-1006626,Health,398.84460207,398.84460207,398.84460207,0.0,0.0,0.0,n00000027,n00000027,n00000027,0,0,,
-1006599,Health,386.50149873,386.50149873,383.07559047,0.0,-3.4259082599999715,3.4259082599999715,n00000194,n00000194,n00000194,0,1,,
-1006589,Health,399.84140842,399.84140842,399.84140842,0.0,0.0,0.0,n00000027,n00000027,n00000027,0,0,,
-1006587,Health,396.70240436,396.70240436,396.70240436,0.0,0.0,0.0,n00000027,n00000027,n00000027,0,0,,
-1006535,Health,378.60698195,378.60698195,382.03610244,0.0,3.4291204900000025,-3.4291204900000025,n00000187,n00000187,n00000187,0,1,,
-1006524,Health,391.80132339,391.80132339,391.80132339,0.0,0.0,0.0,n00000027,n00000027,n00000027,0,0,,
-1006522,Health,395.3044359,395.3044359,395.3044359,0.0,0.0,0.0,n00000027,n00000027,n00000027,0,0,,
-1006459,Health,368.07375661,368.07375661,368.07375661,0.0,0.0,0.0,n00000184,n00000184,n00000184,0,0,,
-1003860,Chemistry,386.03613224,386.03613224,386.03613223,0.0,-9.999951089412207e-09,9.999951089412207e-09,n00000196,n00000196,n00000196,0,1,,
-1003355,Biology,389.72152378,389.72152378,379.24342481,0.0,-10.478098969999962,10.478098969999962,n00000040,n00000040,n00000195,0,1,,2
-1003299,Biology,380.88159043,380.88159043,380.88156723,0.0,-2.3200000043743785e-05,2.3200000043743785e-05,n00000027,n00000027,n00000027,0,1,,
-1003255,Biology,380.43908649,380.43908649,376.85322247,0.0,-3.585864020000031,3.585864020000031,n00000040,n00000040,n00000195,0,1,,2
-1003254,Biology,379.98838995,379.98838995,379.98838952,0.0,-4.3000000005122274e-07,4.3000000005122274e-07,n00000027,n00000027,n00000027,0,1,,
-1003142,Biology,385.43498244,385.43498244,382.31582263,0.0,-3.119159809999985,3.119159809999985,n00000040,n00000040,n00000126,0,1,,2
-1003140,Biology,389.16349034,389.16349034,389.17340906,0.0,0.009918719999973291,-0.009918719999973291,n00000126,n00000126,n00000126,0,1,,
-1003078,Biology,376.86168416,376.86168416,376.83331956,0.0,-0.02836459999997487,0.02836459999997487,n00000195,n00000195,n00000195,0,1,,
-1003075,Biology,381.71501329,381.71501329,371.60209563,0.0,-10.112917659999994,10.112917659999994,n00000040,n00000040,n00000194,0,1,,2
-1003074,Biology,376.7234441,376.7234441,374.19316899,0.0,-2.530275109999991,2.530275109999991,n00000195,n00000195,n00000195,0,1,,
-1003032,Biology,382.78139098,382.78139098,381.34540398,0.0,-1.4359870000000114,1.4359870000000114,n00000083,n00000083,n00000083,0,1,,3
-1003030,Biology,381.2841552,381.2841552,366.19979204,0.0,-15.08436316000001,15.08436316000001,n00000040,n00000040,n00000195,0,1,,2
-1003025,Biology,390.21446444,390.21446444,390.21446442,0.0,-1.9999959022243274e-08,1.9999959022243274e-08,n00000027,n00000027,n00000027,0,1,,
-1002856,Biology,388.42027491,388.42027491,388.42027491,0.0,0.0,0.0,n00000142,n00000142,n00000142,0,0,,
-1002855,Biology,378.91271977,378.91271977,374.5538465,0.0,-4.358873270000004,4.358873270000004,n00000124,n00000124,n00000124,0,1,,
-1002793,Biology,375.77288602,375.77288602,375.77291365,0.0,2.763000003369598e-05,-2.763000003369598e-05,n00000124,n00000124,n00000124,0,1,,
-1002053,Psychology,387.60947891,387.60947891,387.60950234,0.0,2.3429999998825224e-05,-2.3429999998825224e-05,n00000215,n00000215,n00000215,0,1,,
-1001849,Law,416.41641749,416.41641749,391.26837158,0.0,-25.148045910000008,25.148045910000008,n00000234,n00000234,n00000235,0,1,,2
-1001841,Law,417.13338748,417.13338748,403.19747558,0.0,-13.935911900000008,13.935911900000008,n00000200,n00000200,n00000200,0,1,,1
-1001776,Law,410.48562679,410.48562679,393.84006111,0.0,-16.645565680000004,16.645565680000004,n00000234,n00000234,n00000235,0,1,,2
-1001775,Law,414.84338774,414.84338774,414.84338775,0.0,9.999951089412207e-09,-9.999951089412207e-09,n00000235,n00000235,n00000235,0,1,,
-1001771,Law,413.15183699,413.15183699,399.20521895,0.0,-13.946618039999976,13.946618039999976,n00000234,n00000234,n00000235,0,1,,2
-1001758,Law,382.74539176,382.74539176,382.74539176,0.0,0.0,0.0,n00000198,n00000198,n00000198,0,0,,
-1001690,Law,411.33488102,411.33488102,391.52832701,0.0,-19.806554010000013,19.806554010000013,n00000234,n00000234,n00000235,0,1,,2
-1001686,Law,409.55820084,409.55820084,401.06995369,0.0,-8.488247150000007,8.488247150000007,n00000200,n00000200,n00000200,0,1,,1
-1001685,Law,384.69340455,384.69340455,384.69343643,0.0,3.187999999454405e-05,-3.187999999454405e-05,n00000198,n00000198,n00000198,0,1,,
-1001680,Law,412.39649353,412.39649353,401.62510655,0.0,-10.771386979999988,10.771386979999988,n00000200,n00000200,n00000200,0,1,,1
-1001677,Law,400.48372875,400.48372875,398.6523081,0.0,-1.831420649999984,1.831420649999984,n00000199,n00000199,n00000199,0,1,,1
-1001606,Law,402.4919716,402.4919716,393.93805139,0.0,-8.553920210000001,8.553920210000001,n00000200,n00000200,n00000200,0,1,,1
-1001599,Law,418.70243894,418.70243894,398.56011343,0.0,-20.142325509999978,20.142325509999978,n00000234,n00000234,n00000235,0,1,,2
-1001597,Law,389.95877656,389.95877656,385.20248466,0.0,-4.756291900000008,4.756291900000008,n00000199,n00000199,n00000199,0,1,,
-1000358,Business,416.18108052,416.18108052,416.18108052,0.0,0.0,0.0,n00000232,n00000232,n00000232,0,0,,
-1000283,Business,385.22878367,385.22878367,385.22878367,0.0,0.0,0.0,n00000202,n00000202,n00000202,0,0,,
-1000250,Business,383.48065342,383.48065343,383.48065342,1.0000007932831068e-08,0.0,1.0000007932831068e-08,n00000233,n00000233,n00000233,1,0,,
-1000049,Business,406.02936169,406.02936169,406.02936169,0.0,0.0,0.0,n00000233,n00000233,n00000233,0,0,,
-1000025,Business,406.58223338,406.58223338,406.58223338,0.0,0.0,0.0,n00000232,n00000232,n00000232,0,0,,
70,Business,390.42490079,390.42490079,390.42490079,0.0,0.0,0.0,n00000142,n00000142,n00000142,0,0,,
72,Business,377.90118837,377.90106734,377.90118858,-0.00012103000000251996,2.0999999605919584e-07,-0.00012123999999857915,n00000078,n00000078,n00000078,1,1,,
75,Business,378.6792518,378.6792518,378.6792518,0.0,0.0,0.0,n00000219,n00000219,n00000219,0,0,,
78,Business,391.68868897,391.68868897,391.68868897,0.0,0.0,0.0,n00000077,n00000077,n00000077,0,0,,
79,Business,390.7443853,390.7443853,390.74407837,0.0,-0.00030692999996517756,0.00030692999996517756,n00000077,n00000077,n00000077,0,1,,
80,Business,376.08054581,376.08054581,376.08054581,0.0,0.0,0.0,n00000220,n00000220,n00000220,0,0,,
98,Business,428.34093268,428.34093268,428.34093268,0.0,0.0,0.0,n00000151,n00000151,n00000151,0,0,,
102,Business,405.76113368,405.76113368,405.76113368,0.0,0.0,0.0,n00000232,n00000232,n00000232,0,0,,
104,Business,405.01398918,405.01398918,405.01398918,0.0,0.0,0.0,n00000232,n00000232,n00000232,0,0,,
105,Business,419.01073365,419.01073365,419.01073365,0.0,0.0,0.0,n00000151,n00000151,n00000151,0,0,,
1989,Psychology,381.41312125,381.41312125,382.10453231,0.0,0.6914110600000072,-0.6914110600000072,n00000187,n00000187,n00000187,0,1,,
1990,Psychology,393.92681617,393.92681512,393.92681617,-1.0499999802959792e-06,0.0,-1.0499999802959792e-06,n00000221,n00000221,n00000221,1,0,,
1995,Psychology,393.14858556,393.14858556,393.14858556,0.0,0.0,0.0,n00000222,n00000222,n00000222,0,0,,
1996,Psychology,374.64643011,374.64643011,374.64643345,0.0,3.340000034768309e-06,-3.340000034768309e-06,n00000220,n00000220,n00000220,0,1,,
1998,Psychology,385.27039229,385.27039229,382.63298662,0.0,-2.637405670000021,2.637405670000021,n00000217,n00000217,n00000218,0,1,,3
1999,Psychology,389.68414067,389.68414067,389.11587616,0.0,-0.568264509999949,0.568264509999949,n00000082,n00000082,n00000083,0,1,,
2004,Psychology,388.74984883,388.73447531,388.74984881,-0.015373520000025565,-2.0000015865662135e-08,-0.015373500000009699,n00000221,n00000221,n00000221,1,1,,
2006,Psychology,394.95633888,394.95633888,394.95633888,0.0,0.0,0.0,n00000215,n00000215,n00000215,0,0,,
2008,Psychology,383.02897166,383.02897166,379.7073846,0.0,-3.321587060000013,3.321587060000013,n00000217,n00000217,n00000218,0,1,,3
2010,Psychology,382.64249435,382.64249435,382.64249435,0.0,0.0,0.0,n00000219,n00000219,n00000219,0,0,,
2016,Psychology,383.28160741,383.28160741,383.27591613,0.0,-0.005691280000007737,0.005691280000007737,n00000195,n00000195,n00000195,0,1,,
2023,Psychology,394.56903394,394.56903394,394.56903394,0.0,0.0,0.0,n00000222,n00000222,n00000222,0,0,,
2026,Psychology,384.42866755,384.42866755,384.42866763,0.0,8.000000661922968e-08,-8.000000661922968e-08,n00000222,n00000222,n00000222,0,1,,
3526,Chemistry,375.89709694,375.91443532,375.89709693,0.01733838000001242,-1.0000007932831068e-08,0.017338390000020354,n00000189,n00000189,n00000189,1,1,,
3531,Chemistry,380.84681703,380.88818677,380.84675982,0.04136973999999327,-5.721000002267829e-05,0.04142695000001595,n00000189,n00000189,n00000189,1,1,,
3535,Chemistry,406.20437741,406.20437741,406.20437741,0.0,0.0,0.0,n00000204,n00000204,n00000204,0,0,,
3541,Chemistry,380.13493038,380.13481676,380.13493024,-0.0001136200000360077,-1.3999999737279722e-07,-0.0001134800000386349,n00000268,n00000268,n00000268,1,1,,
3548,Chemistry,398.68409506,402.22395514,398.68409506,3.5398600799999826,0.0,3.5398600799999826,n00000190,n00000085,n00000190,1,0,3,
3555,Chemistry,432.33721618,424.26119422,432.33721618,-8.076021959999991,0.0,-8.076021959999991,n00000030,n00000030,n00000030,1,0,2,
3557,Chemistry,400.5808399,396.6353639,400.5808399,-3.945475999999985,0.0,-3.945475999999985,n00000169,n00000169,n00000169,1,0,,
3560,Chemistry,438.32516464,436.99805287,438.32516464,-1.3271117700000445,0.0,-1.3271117700000445,n00000030,n00000030,n00000030,1,0,2,
3561,Chemistry,431.76497509,424.99308647,431.76497509,-6.771888620000027,0.0,-6.771888620000027,n00000030,n00000030,n00000030,1,0,2,
3564,Chemistry,417.28722972,408.54154656,417.28722972,-8.745683160000056,0.0,-8.745683160000056,n00000030,n00000030,n00000030,1,0,2,
3568,Chemistry,380.22716272,379.46223996,380.22716272,-0.7649227600000472,0.0,-0.7649227600000472,n00000171,n00000171,n00000171,1,0,3,
3575,Chemistry,390.71990296,387.82654415,390.71990296,-2.893358809999995,0.0,-2.893358809999995,n00000268,n00000268,n00000268,1,0,,
3581,Chemistry,401.35483959,401.35483959,401.35483959,0.0,0.0,0.0,n00000204,n00000204,n00000204,0,0,,
3582,Chemistry,404.66301646,404.66301646,404.66301646,0.0,0.0,0.0,n00000204,n00000204,n00000204,0,0,,
4674,History,376.29455482,376.29455482,376.38330988,0.0,0.08875506000003952,-0.08875506000003952,n00000104,n00000104,n00000104,0,1,,
4675,History,385.51110969,385.51110969,378.27584811,0.0,-7.235261579999985,7.235261579999985,n00000040,n00000040,n00000126,0,1,,2
4676,History,375.88152315,375.88152315,375.88150893,0.0,-1.4220000025488844e-05,1.4220000025488844e-05,n00000104,n00000104,n00000104,0,1,,
4678,History,367.03392341,367.03392341,367.03392341,0.0,0.0,0.0,n00000107,n00000107,n00000107,0,0,,
4690,History,376.20396194,376.20396194,376.20396194,0.0,0.0,0.0,n00000143,n00000143,n00000143,0,0,,
4692,History,376.10829715,376.10829715,376.10829715,0.0,0.0,0.0,n00000106,n00000106,n00000106,0,0,,
4694,History,370.08062031,370.08062031,370.08061248,0.0,-7.829999958630651e-06,7.829999958630651e-06,n00000106,n00000106,n00000106,0,1,,
4695,History,378.02961082,378.02961082,378.02961082,0.0,0.0,0.0,n00000107,n00000107,n00000107,0,0,,
4699,History,371.77124792,371.77124792,371.77124792,0.0,0.0,0.0,n00000107,n00000107,n00000107,0,0,,
4701,History,381.91209918,381.91209918,381.91209918,0.0,0.0,0.0,n00000105,n00000105,n00000105,0,0,,
4704,History,372.81492831,372.81492831,372.81492831,0.0,0.0,0.0,n00000105,n00000105,n00000105,0,0,,
4705,History,385.40985715,385.40970503,385.40985715,-0.00015211999999564796,0.0,-0.00015211999999564796,n00000196,n00000196,n00000196,1,0,,
4712,History,379.79675851,379.79675851,379.79675851,0.0,0.0,0.0,n00000105,n00000105,n00000105,0,0,,
4717,History,381.73732331,381.73732331,381.73732331,0.0,0.0,0.0,n00000107,n00000107,n00000107,0,0,,
5066,Other,379.59380619,379.59380619,379.59380619,0.0,0.0,0.0,n00000078,n00000078,n00000078,0,0,,
5067,Other,378.43725067,378.43725067,378.43725067,0.0,0.0,0.0,n00000078,n00000078,n00000078,0,0,,
5073,Other,375.43013447,375.43013447,375.43013447,0.0,0.0,0.0,n00000180,n00000180,n00000180,0,0,,
5080,Other,377.49969642,377.49969642,377.49969642,0.0,0.0,0.0,n00000107,n00000107,n00000107,0,0,,
5083,Other,383.69304217,383.69304217,383.69565082,0.0,0.002608650000013313,-0.002608650000013313,n00000218,n00000218,n00000218,0,1,,
5087,Other,374.77678217,374.77678217,374.77678217,0.0,0.0,0.0,n00000182,n00000182,n00000182,0,0,,
5095,Other,388.37856413,389.78540427,388.37856413,1.4068401400000425,0.0,1.4068401400000425,n00000030,n00000030,n00000030,1,0,2,
5097,Other,376.50959569,376.50959569,376.52068966,0.0,0.01109396999999035,-0.01109396999999035,n00000082,n00000082,n00000082,0,1,,
5098,Other,368.39164143,368.39164143,368.39164143,0.0,0.0,0.0,n00000185,n00000185,n00000185,0,0,,
5105,Other,365.97452541,365.97452543,365.97452542,2.0000015865662135e-08,1.0000007932831068e-08,1.0000007932831068e-08,n00000185,n00000185,n00000185,1,1,,
5111,Other,377.78461594,377.78461595,377.78461594,1.0000007932831068e-08,0.0,1.0000007932831068e-08,n00000243,n00000243,n00000243,1,0,,
5114,Other,384.41834899,384.41834899,384.41834899,0.0,0.0,0.0,n00000078,n00000078,n00000078,0,0,,
5126,Other,390.67683476,390.67683476,385.18846155,0.0,-5.48837321000002,5.48837321000002,n00000078,n00000078,n00000078,0,1,,
5136,Other,377.97607938,377.97607938,377.97607938,0.0,0.0,0.0,n00000219,n00000219,n00000219,0,0,,
6826,Economics,392.27748976,392.27748976,392.27748976,0.0,0.0,0.0,n00000318,n00000318,n00000318,0,0,,
6832,Economics,403.16483551,403.16483551,403.16483551,0.0,0.0,0.0,n00000317,n00000317,n00000317,0,0,,
6834,Economics,397.55250715,397.55250715,397.55250715,0.0,0.0,0.0,n00000265,n00000265,n00000265,0,0,,
6839,Economics,383.49294785,383.49294785,383.49294785,0.0,0.0,0.0,n00000266,n00000266,n00000266,0,0,,
6841,Economics,385.45494205,385.45494027,385.45494391,-1.7799999909584585e-06,1.8599999975776882e-06,-3.6399999885361467e-06,n00000222,n00000222,n00000222,1,1,,
6842,Economics,380.17705279,380.17705279,380.17705279,0.0,0.0,0.0,n00000181,n00000181,n00000181,0,0,,
6844,Economics,388.86433227,388.86433304,388.86433227,7.700000423938036e-07,0.0,7.700000423938036e-07,n00000246,n00000246,n00000246,1,0,,
6850,Economics,392.11895249,392.11895249,392.11895249,0.0,0.0,0.0,n00000077,n00000077,n00000077,0,0,,
6855,Economics,405.34876917,405.34876917,405.34876917,0.0,0.0,0.0,n00000077,n00000077,n00000077,0,0,,
6857,Economics,396.85565524,396.85565524,396.85565524,0.0,0.0,0.0,n00000181,n00000181,n00000181,0,0,,
6861,Economics,396.08493324,396.08493324,396.08493324,0.0,0.0,0.0,n00000202,n00000202,n00000202,0,0,,
7692,Math,395.96870837,395.96870837,395.96870837,0.0,0.0,0.0,n00000128,n00000128,n00000128,0,0,,
7695,Math,391.67676266,391.67676266,391.67676266,0.0,0.0,0.0,n00000128,n00000128,n00000128,0,0,,
9045,Physics,378.28795119,378.28794126,378.28795119,-9.929999976066028e-06,0.0,-9.929999976066028e-06,n00000173,n00000173,n00000173,1,0,,
9046,Physics,380.70502137,380.70502137,380.70267612,0.0,-0.0023452500000189502,0.0023452500000189502,n00000173,n00000173,n00000173,0,1,,
9047,Physics,376.85207469,376.85207732,376.84752022,2.629999983128073e-06,-0.0045544700000164084,0.0045570999999995365,n00000173,n00000173,n00000173,1,1,,
10358,Computer science,381.85603061,381.85603061,381.85602814,0.0,-2.4700000267330324e-06,2.4700000267330324e-06,n00000078,n00000078,n00000078,0,1,,
10359,Computer science,379.18764404,379.18764404,379.18764394,0.0,-1.0000002248489182e-07,1.0000002248489182e-07,n00000130,n00000130,n00000130,0,1,,
10361,Computer science,388.35019824,388.35019824,388.35019824,0.0,0.0,0.0,n00000130,n00000130,n00000130,0,0,,
10362,Computer science,371.32937315,366.03272973,371.32937319,-5.296643419999953,4.000003173132427e-08,-5.296643459999984,n00000037,n00000193,n00000037,1,1,2,
10367,Computer science,400.45751608,400.45751608,400.45751608,0.0,0.0,0.0,n00000196,n00000196,n00000196,0,0,,
10368,Computer science,384.62939809,384.62939806,384.62939809,-2.999996695507434e-08,0.0,-2.999996695507434e-08,n00000129,n00000129,n00000129,1,0,,
10369,Computer science,383.00852528,383.00852528,383.00852528,0.0,0.0,0.0,n00000129,n00000129,n00000129,0,0,,
10370,Computer science,380.97581594,380.97581594,380.97581594,0.0,0.0,0.0,n00000129,n00000129,n00000129,0,0,,
10372,Computer science,382.34615438,382.34615438,382.34615438,0.0,0.0,0.0,n00000159,n00000159,n00000159,0,0,,
10375,Computer science,391.33948176,390.36009252,391.33948176,-0.9793892399999891,0.0,-0.9793892399999891,n00000245,n00000245,n00000245,1,0,1,
10379,Computer science,380.00363034,380.00363034,380.00363034,0.0,0.0,0.0,n00000129,n00000129,n00000129,0,0,,
10384,Computer science,375.67940019,375.67940021,375.67931282,1.9999959022243274e-08,-8.737000001701745e-05,8.738999997603969e-05,n00000129,n00000129,n00000129,1,1,,
10386,Computer science,390.22650014,390.22634038,390.22650014,-0.00015975999997408508,0.0,-0.00015975999997408508,n00000196,n00000196,n00000196,1,0,,
10387,Computer science,385.39217324,385.39217286,385.39217327,-3.799999603870674e-07,3.00000237984932e-08,-4.099999841855606e-07,n00000158,n00000158,n00000158,1,1,,
10389,Computer science,402.90692123,402.90692123,402.90692123,0.0,0.0,0.0,n00000196,n00000196,n00000196,0,0,,
10775,Philosophy,387.61073678,387.61073678,387.61073678,0.0,0.0,0.0,n00000128,n00000128,n00000128,0,0,,
10777,Philosophy,383.17799617,383.17799923,383.17789216,3.0600000400227145e-06,-0.00010400999997273175,0.00010707000001275446,n00000242,n00000242,n00000240,1,1,,1
10783,Philosophy,394.2978168,394.2978168,394.2978168,0.0,0.0,0.0,n00000142,n00000142,n00000142,0,0,,
10785,Philosophy,389.88698765,389.88698765,389.88698765,0.0,0.0,0.0,n00000142,n00000142,n00000142,0,0,,
10787,Philosophy,393.78061259,393.78061259,393.78061259,0.0,0.0,0.0,n00000142,n00000142,n00000142,0,0,,
10788,Philosophy,390.63612666,390.63612666,390.63612666,0.0,0.0,0.0,n00000142,n00000142,n00000142,0,0,,
10791,Philosophy,403.34398003,403.34398003,403.34398003,0.0,0.0,0.0,n00000142,n00000142,n00000142,0,0,,
10792,Philosophy,395.58464209,395.58464209,395.58464209,0.0,0.0,0.0,n00000142,n00000142,n00000142,0,0,,
